Position,code,Geography,Treatment,vialnum,Sex,PLATE,cfuA,cfuL,repexp,exp,total,GT,starved,bigexp,GS,TS,TG,aperc,lperc
2E,B Choice M #1 plate4 2E Y,B,Choice,B Choice M #1,M,plate4,38400,0,B Choice M #1,plate4,38400,BChoice,Y,Maggie,BM,ChoiceM,BChoice,1,0
3E,B Choice M #2 plate4 3E Y,B,Choice,B Choice M #2,M,plate4,1075200,100,B Choice M #2,plate4,1075300,BChoice,Y,Maggie,BM,ChoiceM,BChoice,0.999907003,9.30E-05
4E,MD Choice M #1 plate4 4E Y,MD,Choice,MD Choice M #1,M,plate4,16000,100,MD Choice M #1,plate4,16100,MDChoice,Y,Maggie,MDM,ChoiceM,MDChoice,0.99378882,0.00621118
5E,MD Choice M #2 plate4 5E Y,MD,Choice,MD Choice M #2,M,plate4,16000,100,MD Choice M #2,plate4,16100,MDChoice,Y,Maggie,MDM,ChoiceM,MDChoice,0.99378882,0.00621118
6E,D Choice M #1 plate4 6E Y,D,Choice,D Choice M #1,M,plate4,332800,150,D Choice M #1,plate4,332950,DChoice,Y,Maggie,DM,ChoiceM,DChoice,0.999549482,0.000450518
7E,D Control M #1 plate4 7E Y,D,Control,D Control M #1,M,plate4,13200,0,D Control M #1,plate4,13200,DControl,Y,Maggie,DM,ControlM,DControl,1,0
8E,VA Choice M #1 plate4 8E Y,VA,Choice,VA Choice M #1,M,plate4,256000,1650,VA Choice M #1,plate4,257650,VAChoice,Y,Maggie,VAM,ChoiceM,VAChoice,0.993595964,0.006404036
9E,H Choice M #1 plate4 9E Y,H,Choice,H Choice M #1,M,plate4,800,250,H Choice M #1,plate4,1050,HChoice,Y,Maggie,HM,ChoiceM,HChoice,0.761904762,0.238095238
11E,VA Choice M #2 plate4 11E Y,VA,Choice,VA Choice M #2,M,plate4,38400,1200,VA Choice M #2,plate4,39600,VAChoice,Y,Maggie,VAM,ChoiceM,VAChoice,0.96969697,0.03030303
5F,MD Choice M #2 plate4 5F Y,MD,Choice,MD Choice M #2,M,plate4,614400,50,MD Choice M #2,plate4,614450,MDChoice,Y,Maggie,MDM,ChoiceM,MDChoice,0.999918626,8.14E-05
7F,D Control M #1 plate4 7F Y,D,Control,D Control M #1,M,plate4,22400,0,D Control M #1,plate4,22400,DControl,Y,Maggie,DM,ControlM,DControl,1,0
9F,H Choice M #1 plate4 9F Y,H,Choice,H Choice M #1,M,plate4,105600,650,H Choice M #1,plate4,106250,HChoice,Y,Maggie,HM,ChoiceM,HChoice,0.993882353,0.006117647
10F,H Choice M #2 plate4 10F Y,H,Choice,H Choice M #2,M,plate4,819200,0,H Choice M #2,plate4,819200,HChoice,Y,Maggie,HM,ChoiceM,HChoice,1,0
2G,B Choice M #1 plate4 2G Y,B,Choice,B Choice M #1,M,plate4,307200,400,B Choice M #1,plate4,307600,BChoice,Y,Maggie,BM,ChoiceM,BChoice,0.99869961,0.00130039
4G,MD Choice M #1 plate4 4G Y,MD,Choice,MD Choice M #1,M,plate4,16000,750,MD Choice M #1,plate4,16750,MDChoice,Y,Maggie,MDM,ChoiceM,MDChoice,0.955223881,0.044776119
5G,MD Choice M #2 plate4 5G Y,MD,Choice,MD Choice M #2,M,plate4,76800,0,MD Choice M #2,plate4,76800,MDChoice,Y,Maggie,MDM,ChoiceM,MDChoice,1,0
6G,D Choice M #1 plate4 6G Y,D,Choice,D Choice M #1,M,plate4,73600,0,D Choice M #1,plate4,73600,DChoice,Y,Maggie,DM,ChoiceM,DChoice,1,0
10G,H Choice M #2 plate4 10G Y,H,Choice,H Choice M #2,M,plate4,278400,2100,H Choice M #2,plate4,280500,HChoice,Y,Maggie,HM,ChoiceM,HChoice,0.992513369,0.007486631
3H,B Choice M #2 plate4 3H Y,B,Choice,B Choice M #2,M,plate4,921600,250,B Choice M #2,plate4,921850,BChoice,Y,Maggie,BM,ChoiceM,BChoice,0.999728806,0.000271194
6H,D Choice M #1 plate4 6H Y,D,Choice,D Choice M #1,M,plate4,435200,0,D Choice M #1,plate4,435200,DChoice,Y,Maggie,DM,ChoiceM,DChoice,1,0
7H,D Control M #1 plate4 7H Y,D,Control,D Control M #1,M,plate4,6000,550,D Control M #1,plate4,6550,DControl,Y,Maggie,DM,ControlM,DControl,0.916030534,0.083969466
8H,VA Choice M #1 plate4 8H Y,VA,Choice,VA Choice M #1,M,plate4,12400,400,VA Choice M #1,plate4,12800,VAChoice,Y,Maggie,VAM,ChoiceM,VAChoice,0.96875,0.03125
10H,H Choice M #2 plate4 10H Y,H,Choice,H Choice M #2,M,plate4,7600,1100,H Choice M #2,plate4,8700,HChoice,Y,Maggie,HM,ChoiceM,HChoice,0.873563218,0.126436782
1A,VA Choice F #2 plate5 1A Y,VA,Choice,VA Choice F #2,F,plate5,48000,100,VA Choice F #2,plate5,48100,VAChoice,Y,Maggie,VAF,ChoiceF,VAChoice,0.997920998,0.002079002
2A,D Choice F #2 plate5 2A Y,D,Choice,D Choice F #2,F,plate5,108800,0,D Choice F #2,plate5,108800,DChoice,Y,Maggie,DF,ChoiceF,DChoice,1,0
4A,B Control F #1 plate5 4A Y,B,Control,B Control F #1,F,plate5,105600,0,B Control F #1,plate5,105600,BControl,Y,Maggie,BF,ControlF,BControl,1,0
1B,VA Choice F #2 plate5 1B Y,VA,Choice,VA Choice F #2,F,plate5,665600,100,VA Choice F #2,plate5,665700,VAChoice,Y,Maggie,VAF,ChoiceF,VAChoice,0.999849782,0.000150218
8B,E Control F #1 plate5 8B Y,E,Control,E Control F #1,F,plate5,102400,0,E Control F #1,plate5,102400,EControl,Y,Maggie,EF,ControlF,EControl,1,0
9B,E Control F #2 plate5 9B Y,E,Control,E Control F #2,F,plate5,2800,0,E Control F #2,plate5,2800,EControl,Y,Maggie,EF,ControlF,EControl,1,0
11B,H Control F #2 plate5 11B Y,H,Control,H Control F #2,F,plate5,2700,0,H Control F #2,plate5,2700,HControl,Y,Maggie,HF,ControlF,HControl,1,0
3C,VA Choice F #3 plate5 3C Y,VA,Choice,VA Choice F #3,F,plate5,150400,0,VA Choice F #3,plate5,150400,VAChoice,Y,Maggie,VAF,ChoiceF,VAChoice,1,0
5C,L Control F #1 plate5 5C Y,L,Control,L Control F #1,F,plate5,13600,0,L Control F #1,plate5,13600,LControl,Y,Maggie,LF,ControlF,LControl,1,0
6C,B Choice F #3 plate5 6C Y,B,Choice,B Choice F #3,F,plate5,9200,0,B Choice F #3,plate5,9200,BChoice,Y,Maggie,BF,ChoiceF,BChoice,1,0
8C,E Control F #1 plate5 8C Y,E,Control,E Control F #1,F,plate5,50,0,E Control F #1,plate5,50,EControl,Y,Maggie,EF,ControlF,EControl,1,0
10C,H Control F #1 plate5 10C Y,H,Control,H Control F #1,F,plate5,179200,0,H Control F #1,plate5,179200,HControl,Y,Maggie,HF,ControlF,HControl,1,0
11C,H Control F #2 plate5 11C Y,H,Control,H Control F #2,F,plate5,51200,0,H Control F #2,plate5,51200,HControl,Y,Maggie,HF,ControlF,HControl,1,0
4D,B Control F #1 plate5 4D Y,B,Control,B Control F #1,F,plate5,64000,0,B Control F #1,plate5,64000,BControl,Y,Maggie,BF,ControlF,BControl,1,0
12D,PA Choice F #1 plate5 12D Y,PA,Choice,PA Choice F #1,F,plate5,54400,0,PA Choice F #1,plate5,54400,PAChoice,Y,Maggie,PAF,ChoiceF,PAChoice,1,0
1E,VA Choice M #2 plate5 1E Y,VA,Choice,VA Choice M #2,M,plate5,83200,0,VA Choice M #2,plate5,83200,VAChoice,Y,Maggie,VAM,ChoiceM,VAChoice,1,0
4F,B Control M #1 plate5 4F Y,B,Control,B Control M #1,M,plate5,16000,0,B Control M #1,plate5,16000,BControl,Y,Maggie,BM,ControlM,BControl,1,0
7F,L Choice M #2 plate5 7F Y,L,Choice,L Choice M #2,M,plate5,21600,100,L Choice M #2,plate5,21700,LChoice,Y,Maggie,LM,ChoiceM,LChoice,0.995391705,0.004608295
9F,E Control M #2 plate5 9F Y,E,Control,E Control M #2,M,plate5,6400,0,E Control M #2,plate5,6400,EControl,Y,Maggie,EM,ControlM,EControl,1,0
11F,H Control M #2 plate5 11F Y,H,Control,H Control M #2,M,plate5,650,0,H Control M #2,plate5,650,HControl,Y,Maggie,HM,ControlM,HControl,1,0
12F,PA Control M #1 plate5 12F Y,PA,Control,PA Control M #1,M,plate5,38400,1850,PA Control M #1,plate5,40250,PAControl,Y,Maggie,PAM,ControlM,PAControl,0.954037267,0.045962733
1G,VA Choice M #2 plate5 1G Y,VA,Choice,VA Choice M #2,M,plate5,486400,0,VA Choice M #2,plate5,486400,VAChoice,Y,Maggie,VAM,ChoiceM,VAChoice,1,0
2G,D Choice M #2 plate5 2G Y,D,Choice,D Choice M #2,M,plate5,10800,0,D Choice M #2,plate5,10800,DChoice,Y,Maggie,DM,ChoiceM,DChoice,1,0
5G,L Control M #1 plate5 5G Y,L,Control,L Control M #1,M,plate5,20800,0,L Control M #1,plate5,20800,LControl,Y,Maggie,LM,ControlM,LControl,1,0
11G,H Control M #2 plate5 11G Y,H,Control,H Control M #2,M,plate5,166400,450,H Control M #2,plate5,166850,HControl,Y,Maggie,HM,ControlM,HControl,0.997302967,0.002697033
1H,VA Choice M #2 plate5 1H Y,VA,Choice,VA Choice M #2,M,plate5,435200,50,VA Choice M #2,plate5,435250,VAChoice,Y,Maggie,VAM,ChoiceM,VAChoice,0.999885123,0.000114877
6H,B Choice M #3 plate5 6H Y,B,Choice,B Choice M #3,M,plate5,384000,850,B Choice M #3,plate5,384850,BChoice,Y,Maggie,BM,ChoiceM,BChoice,0.997791347,0.002208653
7H,L Choice M #2 plate5 7H Y,L,Choice,L Choice M #2,M,plate5,9200,500,L Choice M #2,plate5,9700,LChoice,Y,Maggie,LM,ChoiceM,LChoice,0.948453608,0.051546392
2A,E Choice F #1 plate6 2A Y,E,Choice,E Choice F #1,F,plate6,4000,0,E Choice F #1,plate6,4000,EChoice,Y,Maggie,EF,ChoiceF,EChoice,1,0
3A,E Choice F #2 plate6 3A Y,E,Choice,E Choice F #2,F,plate6,105600,0,E Choice F #2,plate6,105600,EChoice,Y,Maggie,EF,ChoiceF,EChoice,1,0
4A,VA Control F #2 plate6 4A Y,VA,Control,VA Control F #2,F,plate6,76800,0,VA Control F #2,plate6,76800,VAControl,Y,Maggie,VAF,ControlF,VAControl,1,0
5A,VA Control F #1 plate6 5A Y,VA,Control,VA Control F #1,F,plate6,108800,0,VA Control F #1,plate6,108800,VAControl,Y,Maggie,VAF,ControlF,VAControl,1,0
1B,L Choice F #1 plate6 1B Y,L,Choice,L Choice F #1,F,plate6,38400,800,L Choice F #1,plate6,39200,LChoice,Y,Maggie,LF,ChoiceF,LChoice,0.979591837,0.020408163
2B,E Choice F #1 plate6 2B Y,E,Choice,E Choice F #1,F,plate6,16000,0,E Choice F #1,plate6,16000,EChoice,Y,Maggie,EF,ChoiceF,EChoice,1,0
3B,E Choice F #2 plate6 3B Y,E,Choice,E Choice F #2,F,plate6,76800,4000,E Choice F #2,plate6,80800,EChoice,Y,Maggie,EF,ChoiceF,EChoice,0.95049505,0.04950495
4B,VA Control F #2 plate6 4B Y,VA,Control,VA Control F #2,F,plate6,131200,0,VA Control F #2,plate6,131200,VAControl,Y,Maggie,VAF,ControlF,VAControl,1,0
5B,VA Control F #1 plate6 5B Y,VA,Control,VA Control F #1,F,plate6,89600,0,VA Control F #1,plate6,89600,VAControl,Y,Maggie,VAF,ControlF,VAControl,1,0
1C,L Choice F #1 plate6 1C Y,L,Choice,L Choice F #1,F,plate6,38400,8000,L Choice F #1,plate6,46400,LChoice,Y,Maggie,LF,ChoiceF,LChoice,0.827586207,0.172413793
2C,E Choice F #1 plate6 2C Y,E,Choice,E Choice F #1,F,plate6,28800,1200,E Choice F #1,plate6,30000,EChoice,Y,Maggie,EF,ChoiceF,EChoice,0.96,0.04
4C,VA Control F #2 plate6 4C Y,VA,Control,VA Control F #2,F,plate6,28800,0,VA Control F #2,plate6,28800,VAControl,Y,Maggie,VAF,ControlF,VAControl,1,0
1D,L Choice F #1 plate6 1D Y,L,Choice,L Choice F #1,F,plate6,8000,0,L Choice F #1,plate6,8000,LChoice,Y,Maggie,LF,ChoiceF,LChoice,1,0
2D,E Choice F #1 plate6 2D Y,E,Choice,E Choice F #1,F,plate6,38400,0,E Choice F #1,plate6,38400,EChoice,Y,Maggie,EF,ChoiceF,EChoice,1,0
3D,E Choice F #2 plate6 3D Y,E,Choice,E Choice F #2,F,plate6,160000,0,E Choice F #2,plate6,160000,EChoice,Y,Maggie,EF,ChoiceF,EChoice,1,0
4D,VA Control F #2 plate6 4D Y,VA,Control,VA Control F #2,F,plate6,147200,0,VA Control F #2,plate6,147200,VAControl,Y,Maggie,VAF,ControlF,VAControl,1,0
5D,VA Control F #1 plate6 5D Y,VA,Control,VA Control F #1,F,plate6,153600,50,VA Control F #1,plate6,153650,VAControl,Y,Maggie,VAF,ControlF,VAControl,0.999674585,0.000325415
1E,L Choice M #1 plate6 1E Y,L,Choice,L Choice M #1,M,plate6,3200,0,L Choice M #1,plate6,3200,LChoice,Y,Maggie,LM,ChoiceM,LChoice,1,0
3F,E Choice M #2 plate6 3F Y,E,Choice,E Choice M #2,M,plate6,89600,0,E Choice M #2,plate6,89600,EChoice,Y,Maggie,EM,ChoiceM,EChoice,1,0
4F,VA Control M #2 plate6 4F Y,VA,Control,VA Control M #2,M,plate6,20000,50,VA Control M #2,plate6,20050,VAControl,Y,Maggie,VAM,ControlM,VAControl,0.997506234,0.002493766
5F,VA Control M #1 plate6 5F Y,VA,Control,VA Control M #1,M,plate6,57600,0,VA Control M #1,plate6,57600,VAControl,Y,Maggie,VAM,ControlM,VAControl,1,0
1G,L Choice M #1 plate6 1G Y,L,Choice,L Choice M #1,M,plate6,35200,50,L Choice M #1,plate6,35250,LChoice,Y,Maggie,LM,ChoiceM,LChoice,0.99858156,0.00141844
4G,VA Control M #2 plate6 4G Y,VA,Control,VA Control M #2,M,plate6,89600,0,VA Control M #2,plate6,89600,VAControl,Y,Maggie,VAM,ControlM,VAControl,1,0
3H,E Choice M #2 plate6 3H Y,E,Choice,E Choice M #2,M,plate6,51200,0,E Choice M #2,plate6,51200,EChoice,Y,Maggie,EM,ChoiceM,EChoice,1,0
5H,VA Control M #1 plate6 5H Y,VA,Control,VA Control M #1,M,plate6,67200,50,VA Control M #1,plate6,67250,VAControl,Y,Maggie,VAM,ControlM,VAControl,0.999256506,0.000743494
145,ME Choice F #1 145 reps,ME,Choice,ME Choice F #1 145 reps,F,N,3645441,81,ME Choice F #1 145 reps,rep3,3645522,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.999977781,2.22E-05
147,ME Choice M #1 147 reps,ME,Choice,ME Choice M #1 147 reps,M,N,399361,1921,ME Choice M #1 147 reps,rep3,401282,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.995212843,0.004787157
149,ME Choice F #2 149 reps,ME,Choice,ME Choice F #2 149 reps,F,N,4710401,801,ME Choice F #2 149 reps,rep3,4711202,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.99982998,0.00017002
151,ME Choice M #2 151 reps,ME,Choice,ME Choice M #2 151 reps,M,N,1290241,1701,ME Choice M #2 151 reps,rep3,1291942,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.998683377,0.001316623
153,ME Choice F #3 153 reps,ME,Choice,ME Choice F #3 153 reps,F,N,1126401,641,ME Choice F #3 153 reps,rep3,1127042,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.999431255,0.000568745
155,ME Choice M #3 155 reps,ME,Choice,ME Choice M #3 155 reps,M,N,317441,5921,ME Choice M #3 155 reps,rep3,323362,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.981689252,0.018310748
157,ME Control F #1 157 reps,ME,Control,ME Control F #1 157 reps,F,N,2170881,21,ME Control F #1 157 reps,rep3,2170902,MEControl,N,reps,MEF,ControlF,MEControl,0.999990327,9.67E-06
159,ME Control M #1 159 reps,ME,Control,ME Control M #1 159 reps,M,N,757761,1,ME Control M #1 159 reps,rep3,757762,MEControl,N,reps,MEM,ControlM,MEControl,0.99999868,1.32E-06
161,ME Control F #2 161 reps,ME,Control,ME Control F #2 161 reps,F,N,1853441,1,ME Control F #2 161 reps,rep3,1853442,MEControl,N,reps,MEF,ControlF,MEControl,0.99999946,5.40E-07
163,ME Control M #2 163 reps,ME,Control,ME Control M #2 163 reps,M,N,216321,1,ME Control M #2 163 reps,rep3,216322,MEControl,N,reps,MEM,ControlM,MEControl,0.999995377,4.62E-06
165,ME Control F #3 165 reps,ME,Control,ME Control F #3 165 reps,F,N,460801,1,ME Control F #3 165 reps,rep3,460802,MEControl,N,reps,MEF,ControlF,MEControl,0.99999783,2.17E-06
167,ME Control M #3 167 reps,ME,Control,ME Control M #3 167 reps,M,N,102401,1,ME Control M #3 167 reps,rep3,102402,MEControl,N,reps,MEM,ControlM,MEControl,0.999990235,9.77E-06
169,F Choice F #1 169 reps,F,Choice,F Choice F #1 169 reps,F,N,5652481,1,F Choice F #1 169 reps,rep3,5652482,FChoice,N,reps,FF,ChoiceF,FChoice,0.999999823,1.77E-07
171,F Choice M #1 171 reps,F,Choice,F Choice M #1 171 reps,M,N,573441,1,F Choice M #1 171 reps,rep3,573442,FChoice,N,reps,FM,ChoiceM,FChoice,0.999998256,1.74E-06
173,F Choice F #2 173 reps,F,Choice,F Choice F #2 173 reps,F,N,6635521,1,F Choice F #2 173 reps,rep3,6635522,FChoice,N,reps,FF,ChoiceF,FChoice,0.999999849,1.51E-07
175,F Choice M #2 175 reps,F,Choice,F Choice M #2 175 reps,M,N,778241,1,F Choice M #2 175 reps,rep3,778242,FChoice,N,reps,FM,ChoiceM,FChoice,0.999998715,1.28E-06
177,F Choice F #3 177 reps,F,Choice,F Choice F #3 177 reps,F,N,184321,1,F Choice F #3 177 reps,rep3,184322,FChoice,N,reps,FF,ChoiceF,FChoice,0.999994575,5.43E-06
179,F Choice M #3 179 reps,F,Choice,F Choice M #3 179 reps,M,N,154881,1,F Choice M #3 179 reps,rep3,154882,FChoice,N,reps,FM,ChoiceM,FChoice,0.999993543,6.46E-06
181,F Control F #1 181 reps,F,Control,F Control F #1 181 reps,F,N,1536001,1,F Control F #1 181 reps,rep3,1536002,FControl,N,reps,FF,ControlF,FControl,0.999999349,6.51E-07
183,F Control M #1 183 reps,F,Control,F Control M #1 183 reps,M,N,634881,1,F Control M #1 183 reps,rep3,634882,FControl,N,reps,FM,ControlM,FControl,0.999998425,1.58E-06
185,F Control F #2 185 reps,F,Control,F Control F #2 185 reps,F,N,129281,1,F Control F #2 185 reps,rep3,129282,FControl,N,reps,FF,ControlF,FControl,0.999992265,7.74E-06
187,F Control M #2 187 reps,F,Control,F Control M #2 187 reps,M,N,117761,1,F Control M #2 187 reps,rep3,117762,FControl,N,reps,FM,ControlM,FControl,0.999991508,8.49E-06
189,F Control F #3 189 reps,F,Control,F Control F #3 189 reps,F,N,358401,1,F Control F #3 189 reps,rep3,358402,FControl,N,reps,FF,ControlF,FControl,0.99999721,2.79E-06
191,F Control M #3 191 reps,F,Control,F Control M #3 191 reps,M,N,172801,1,F Control M #3 191 reps,rep3,172802,FControl,N,reps,FM,ControlM,FControl,0.999994213,5.79E-06
193,PA Choice F #1 193 reps,PA,Choice,PA Choice F #1 193 reps,F,N,419841,41,PA Choice F #1 193 reps,rep3,419882,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999902354,9.76E-05
195,PA Choice M #1 195 reps,PA,Choice,PA Choice M #1 195 reps,M,N,430081,121,PA Choice M #1 195 reps,rep3,430202,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.999718737,0.000281263
197,PA Choice F #2 197 reps,PA,Choice,PA Choice F #2 197 reps,F,N,645121,121601,PA Choice F #2 197 reps,rep3,766722,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.841401447,0.158598553
199,PA Choice M #2 199 reps,PA,Choice,PA Choice M #2 199 reps,M,N,161281,41,PA Choice M #2 199 reps,rep3,161322,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.99974585,0.00025415
201,PA Choice F #3 201 reps,PA,Choice,PA Choice F #3 201 reps,F,N,1003521,1,PA Choice F #3 201 reps,rep3,1003522,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999999004,9.96E-07
203,PA Choice M #3 203 reps,PA,Choice,PA Choice M #3 203 reps,M,N,317441,1,PA Choice M #3 203 reps,rep3,317442,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.99999685,3.15E-06
205,PA Control F #1 205 reps,PA,Control,PA Control F #1 205 reps,F,N,911361,41,PA Control F #1 205 reps,rep3,911402,PAControl,N,reps,PAF,ControlF,PAControl,0.999955014,4.50E-05
207,PA Control M #1 207 reps,PA,Control,PA Control M #1 207 reps,M,N,573441,521,PA Control M #1 207 reps,rep3,573962,PAControl,N,reps,PAM,ControlM,PAControl,0.999092274,0.000907726
209,PA Control F #2 209 reps,PA,Control,PA Control F #2 209 reps,F,N,1003521,21,PA Control F #2 209 reps,rep3,1003542,PAControl,N,reps,PAF,ControlF,PAControl,0.999979074,2.09E-05
211,PA Control M #2 211 reps,PA,Control,PA Control M #2 211 reps,M,N,140801,61,PA Control M #2 211 reps,rep3,140862,PAControl,N,reps,PAM,ControlM,PAControl,0.999566952,0.000433048
213,PA Control F #3 213 reps,PA,Control,PA Control F #3 213 reps,F,N,942081,1,PA Control F #3 213 reps,rep3,942082,PAControl,N,reps,PAF,ControlF,PAControl,0.999998939,1.06E-06
215,PA Control M #3 215 reps,PA,Control,PA Control M #3 215 reps,M,N,107521,161,PA Control M #3 215 reps,rep3,107682,PAControl,N,reps,PAM,ControlM,PAControl,0.998504857,0.001495143
217,ME Choice F #1 217 reps,ME,Choice,ME Choice F #1 217 reps,F,N,3276801,41,ME Choice F #1 217 reps,rep4,3276842,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.999987488,1.25E-05
219,ME Choice M #1 219 reps,ME,Choice,ME Choice M #1 219 reps,M,N,110081,741,ME Choice M #1 219 reps,rep4,110822,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.993313602,0.006686398
221,ME Choice F #2 221 reps,ME,Choice,ME Choice F #2 221 reps,F,N,1085441,601,ME Choice F #2 221 reps,rep4,1086042,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.999446614,0.000553386
223,ME Choice M #2 223 reps,ME,Choice,ME Choice M #2 223 reps,M,N,983041,1,ME Choice M #2 223 reps,rep4,983042,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.999998983,1.02E-06
225,ME Choice F #3 225 reps,ME,Choice,ME Choice F #3 225 reps,F,N,3194881,2061,ME Choice F #3 225 reps,rep4,3196942,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.999355321,0.000644679
227,ME Choice M #3 227 reps,ME,Choice,ME Choice M #3 227 reps,M,N,93441,61,ME Choice M #3 227 reps,rep4,93502,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.999347608,0.000652392
229,ME Control F #1 229 reps,ME,Control,ME Control F #1 229 reps,F,N,849921,121,ME Control F #1 229 reps,rep4,850042,MEControl,N,reps,MEF,ControlF,MEControl,0.999857654,0.000142346
231,ME Control M #1 231 reps,ME,Control,ME Control M #1 231 reps,M,N,261121,121,ME Control M #1 231 reps,rep4,261242,MEControl,N,reps,MEM,ControlM,MEControl,0.999536828,0.000463172
233,ME Control F #2 233 reps,ME,Control,ME Control F #2 233 reps,F,N,1259521,201,ME Control F #2 233 reps,rep4,1259722,MEControl,N,reps,MEF,ControlF,MEControl,0.999840441,0.000159559
235,ME Control M #2 235 reps,ME,Control,ME Control M #2 235 reps,M,N,126721,541,ME Control M #2 235 reps,rep4,127262,MEControl,N,reps,MEM,ControlM,MEControl,0.995748927,0.004251073
237,ME Control F #3 237 reps,ME,Control,ME Control F #3 237 reps,F,N,1843201,361,ME Control F #3 237 reps,rep4,1843562,MEControl,N,reps,MEF,ControlF,MEControl,0.999804183,0.000195817
239,ME Control M #3 239 reps,ME,Control,ME Control M #3 239 reps,M,N,92161,1,ME Control M #3 239 reps,rep4,92162,MEControl,N,reps,MEM,ControlM,MEControl,0.99998915,1.09E-05
241,F Choice F #1 241 reps,F,Choice,F Choice F #1 241 reps,F,N,378881,41,F Choice F #1 241 reps,rep4,378922,FChoice,N,reps,FF,ChoiceF,FChoice,0.999891798,0.000108202
243,F Choice M #1 243 reps,F,Choice,F Choice M #1 243 reps,M,N,80641,21,F Choice M #1 243 reps,rep4,80662,FChoice,N,reps,FM,ChoiceM,FChoice,0.999739654,0.000260346
245,F Choice F #2 245 reps,F,Choice,F Choice F #2 245 reps,F,N,675841,41,F Choice F #2 245 reps,rep4,675882,FChoice,N,reps,FF,ChoiceF,FChoice,0.999939339,6.07E-05
247,F Choice M #2 247 reps,F,Choice,F Choice M #2 247 reps,M,N,142081,121,F Choice M #2 247 reps,rep4,142202,FChoice,N,reps,FM,ChoiceM,FChoice,0.999149098,0.000850902
249,F Choice F #3 249 reps,F,Choice,F Choice F #3 249 reps,F,N,460801,1,F Choice F #3 249 reps,rep4,460802,FChoice,N,reps,FF,ChoiceF,FChoice,0.99999783,2.17E-06
251,F Choice M #3 251 reps,F,Choice,F Choice M #3 251 reps,M,N,39681,1,F Choice M #3 251 reps,rep4,39682,FChoice,N,reps,FM,ChoiceM,FChoice,0.9999748,2.52E-05
253,F Control F #1 253 reps,F,Control,F Control F #1 253 reps,F,N,5406721,101,F Control F #1 253 reps,rep4,5406822,FControl,N,reps,FF,ControlF,FControl,0.99998132,1.87E-05
255,F Control M #1 255 reps,F,Control,F Control M #1 255 reps,M,N,358401,1421,F Control M #1 255 reps,rep4,359822,FControl,N,reps,FM,ControlM,FControl,0.996050825,0.003949175
257,F Control F #2 257 reps,F,Control,F Control F #2 257 reps,F,N,4915201,161,F Control F #2 257 reps,rep4,4915362,FControl,N,reps,FF,ControlF,FControl,0.999967246,3.28E-05
259,F Control M #2 259 reps,F,Control,F Control M #2 259 reps,M,N,368641,61,F Control M #2 259 reps,rep4,368702,FControl,N,reps,FM,ControlM,FControl,0.999834555,0.000165445
261,F Control F #3 261 reps,F,Control,F Control F #3 261 reps,F,N,870401,21,F Control F #3 261 reps,rep4,870422,FControl,N,reps,FF,ControlF,FControl,0.999975874,2.41E-05
263,F Control M #3 263 reps,F,Control,F Control M #3 263 reps,M,N,39681,1,F Control M #3 263 reps,rep4,39682,FControl,N,reps,FM,ControlM,FControl,0.9999748,2.52E-05
265,PA Choice F #1 265 reps,PA,Choice,PA Choice F #1 265 reps,F,N,1116161,101,PA Choice F #1 265 reps,rep4,1116262,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999909519,9.05E-05
267,PA Choice M #1 267 reps,PA,Choice,PA Choice M #1 267 reps,M,N,337921,141,PA Choice M #1 267 reps,rep4,338062,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.999582917,0.000417083
269,PA Choice F #2 269 reps,PA,Choice,PA Choice F #2 269 reps,F,N,2457601,421,PA Choice F #2 269 reps,rep4,2458022,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999828724,0.000171276
271,PA Choice M #2 271 reps,PA,Choice,PA Choice M #2 271 reps,M,N,122881,181,PA Choice M #2 271 reps,rep4,123062,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.998529197,0.001470803
273,PA Choice F #3 273 reps,PA,Choice,PA Choice F #3 273 reps,F,N,3891201,181,PA Choice F #3 273 reps,rep4,3891382,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999953487,4.65E-05
