code,Sex,Treatment,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Side
F CON 61 fly A NA,F,CON,Acetobacter,fly,A,356160,381600,737760,FCON,FCON,61,F CON 61 fly A NA,NA
M CH 63 fly A NA,M,CH,Acetobacter,fly,A,5167.5,12720,17887.5,MCH,MCH,63,M CH 63 fly A NA,NA
M CH 65 fly A NA,M,CH,Acetobacter,fly,A,4770,5167.5,9937.5,MCH,MCH,65,M CH 65 fly A NA,NA
F CH 67 fly A NA,F,CH,Acetobacter,fly,A,34980,73140,108120,FCH,FCH,67,F CH 67 fly A NA,NA
F CH 69 fly A NA,F,CH,Acetobacter,fly,A,50880,82680,133560,FCH,FCH,69,F CH 69 fly A NA,NA
M CON 71 fly A NA,M,CON,Acetobacter,fly,A,38160,5167.5,43327.5,MCON,MCON,71,M CON 71 fly A NA,NA
F CON 74 fly A NA,F,CON,Acetobacter,fly,A,1093920,25440,1119360,FCON,FCON,74,F CON 74 fly A NA,NA
F CON 76 fly A NA,F,CON,Acetobacter,fly,A,19080,47700,66780,FCON,FCON,76,F CON 76 fly A NA,NA
M CH 78 fly A NA,M,CH,Acetobacter,fly,A,7950,22260,30210,MCH,MCH,78,M CH 78 fly A NA,NA
F CH 81 fly A NA,F,CH,Acetobacter,fly,A,3975,7950,11925,FCH,FCH,81,F CH 81 fly A NA,NA
F CH 83 fly A NA,F,CH,Acetobacter,fly,A,50880,50880,101760,FCH,FCH,83,F CH 83 fly A NA,NA
M CON 85 fly A NA,M,CON,Acetobacter,fly,A,9142.5,15105,24247.5,MCON,MCON,85,M CON 85 fly A NA,NA
M CON 87 fly A NA,M,CON,Acetobacter,fly,A,13515,11130,24645,MCON,MCON,87,M CON 87 fly A NA,NA
F CON 89 fly A NA,F,CON,Acetobacter,fly,A,5167.5,13912.5,19080,FCON,FCON,89,F CON 89 fly A NA,NA
M CH 92 fly A NA,M,CH,Acetobacter,fly,A,3180,8347.5,11527.5,MCH,MCH,92,M CH 92 fly A NA,NA
F CH 95 fly A NA,F,CH,Acetobacter,fly,A,7155,47700,54855,FCH,FCH,95,F CH 95 fly A NA,NA
F CH 97 fly A NA,F,CH,Acetobacter,fly,A,7552.5,76320,83872.5,FCH,FCH,97,F CH 97 fly A NA,NA
M CON 99 fly A NA,M,CON,Acetobacter,fly,A,25440,2385,27825,MCON,MCON,99,M CON 99 fly A NA,NA
M CON 101 fly A NA,M,CON,Acetobacter,fly,A,85860,7155,93015,MCON,MCON,101,M CON 101 fly A NA,NA
F CON 103 fly A NA,F,CON,Acetobacter,fly,A,457920,111300,569220,FCON,FCON,103,F CON 103 fly A NA,NA
F CON 105 fly A NA,F,CON,Acetobacter,fly,A,117660,41340,159000,FCON,FCON,105,F CON 105 fly A NA,NA
M CH 107 fly A NA,M,CH,Acetobacter,fly,A,5962.5,5962.5,11925,MCH,MCH,107,M CH 107 fly A NA,NA
F CH 110 fly A NA,F,CH,Acetobacter,fly,A,1590,66780,68370,FCH,FCH,110,F CH 110 fly A NA,NA
F CH 112 fly A NA,F,CH,Acetobacter,fly,A,41340,76320,117660,FCH,FCH,112,F CH 112 fly A NA,NA
M CON 114 fly A NA,M,CON,Acetobacter,fly,A,8347.5,5962.5,14310,MCON,MCON,114,M CON 114 fly A NA,NA
M CON 116 fly A NA,M,CON,Acetobacter,fly,A,73140,1590,74730,MCON,MCON,116,M CON 116 fly A NA,NA
F CON 118 fly A NA,F,CON,Acetobacter,fly,A,508800,661440,1170240,FCON,FCON,118,F CON 118 fly A NA,NA
F CON 120 fly A NA,F,CON,Acetobacter,fly,A,381600,41340,422940,FCON,FCON,120,F CON 120 fly A NA,NA
M CH 122 fly A NA,M,CH,Acetobacter,fly,A,17092.5,5565,22657.5,MCH,MCH,122,M CH 122 fly A NA,NA
M CH 124 fly A NA,M,CH,Acetobacter,fly,A,2385,3975,6360,MCH,MCH,124,M CH 124 fly A NA,NA
M CON 128 fly A NA,M,CON,Acetobacter,fly,A,5167.5,5962.5,11130,MCON,MCON,128,M CON 128 fly A NA,NA
M CON 130 fly A NA,M,CON,Acetobacter,fly,A,13912.5,1590,15502.5,MCON,MCON,130,M CON 130 fly A NA,NA
F CON 132 fly A NA,F,CON,Acetobacter,fly,A,203520,73140,276660,FCON,FCON,132,F CON 132 fly A NA,NA
F CON 134 fly A NA,F,CON,Acetobacter,fly,A,814080,89040,903120,FCON,FCON,134,F CON 134 fly A NA,NA
M CH 136 fly A NA,M,CH,Acetobacter,fly,A,5962.5,22260,28222.5,MCH,MCH,136,M CH 136 fly A NA,NA
M CH 138 fly A NA,M,CH,Acetobacter,fly,A,6360,22260,28620,MCH,MCH,138,M CH 138 fly A NA,NA
F CH 140 fly A NA,F,CH,Acetobacter,fly,A,47700,82680,130380,FCH,FCH,140,F CH 140 fly A NA,NA
F CH 142 fly A NA,F,CH,Acetobacter,fly,A,6360,73140,79500,FCH,FCH,142,F CH 142 fly A NA,NA
M CON 144 fly A NA,M,CON,Acetobacter,fly,A,63600,6360,69960,MCON,MCON,144,M CON 144 fly A NA,NA
M CON 146 fly A NA,M,CON,Acetobacter,fly,A,10732.5,6360,17092.5,MCON,MCON,146,M CON 146 fly A NA,NA
F CON 148 fly A NA,F,CON,Acetobacter,fly,A,686880,54060,740940,FCON,FCON,148,F CON 148 fly A NA,NA
F CON 150 fly A NA,F,CON,Acetobacter,fly,A,139920,76320,216240,FCON,FCON,150,F CON 150 fly A NA,NA
NA CON 153 diet A NA,NA,CON,Acetobacter,diet,A,3663360,3800,3667160,NACON,NACON,153,NA CON 153 diet A NA,NA
NA CON 155 diet A NA,NA,CON,Acetobacter,diet,A,1628160,3600,1631760,NACON,NACON,155,NA CON 155 diet A NA,NA
NA CON 157 diet A NA,NA,CON,Acetobacter,diet,A,3052800,4000,3056800,NACON,NACON,157,NA CON 157 diet A NA,NA
NA CON 159 diet A NA,NA,CON,Acetobacter,diet,A,3256320,3100,3259420,NACON,NACON,159,NA CON 159 diet A NA,NA
NA CON 161 diet A NA,NA,CON,Acetobacter,diet,A,1017600,4600,1022200,NACON,NACON,161,NA CON 161 diet A NA,NA
NA CON 163 diet A NA,NA,CON,Acetobacter,diet,A,610560,3600,614160,NACON,NACON,163,NA CON 163 diet A NA,NA
NA CON 165 diet A NA,NA,CON,Acetobacter,diet,A,1017600,3800,1021400,NACON,NACON,165,NA CON 165 diet A NA,NA
NA CON 167 diet A NA,NA,CON,Acetobacter,diet,A,1424640,4575,1429215,NACON,NACON,167,NA CON 167 diet A NA,NA
NA CON 169 diet A NA,NA,CON,Acetobacter,diet,A,2442240,3200,2445440,NACON,NACON,169,NA CON 169 diet A NA,NA
NA CON 171 diet A NA,NA,CON,Acetobacter,diet,A,1424640,2800,1427440,NACON,NACON,171,NA CON 171 diet A NA,NA
NA CON 173 diet A NA,NA,CON,Acetobacter,diet,A,1831680,4400,1836080,NACON,NACON,173,NA CON 173 diet A NA,NA
NA CON 175 diet A NA,NA,CON,Acetobacter,diet,A,2035200,3400,2038600,NACON,NACON,175,NA CON 175 diet A NA,NA
NA CON 178 diet A NA,NA,CON,Acetobacter,diet,A,2442240,3400,2445640,NACON,NACON,178,NA CON 178 diet A NA,NA
NA CON 180 diet A NA,NA,CON,Acetobacter,diet,A,40704000,4500,40708500,NACON,NACON,180,NA CON 180 diet A NA,NA
NA CON 182 diet A NA,NA,CON,Acetobacter,diet,A,2849280,3500,2852780,NACON,NACON,182,NA CON 182 diet A NA,NA
NA CON 184 diet A NA,NA,CON,Acetobacter,diet,A,7326720,3000,7329720,NACON,NACON,184,NA CON 184 diet A NA,NA
NA CON 187 diet A NA,NA,CON,Acetobacter,diet,A,3256320,3000,3259320,NACON,NACON,187,NA CON 187 diet A NA,NA
NA CON 189 diet A NA,NA,CON,Acetobacter,diet,A,7123200,4200,7127400,NACON,NACON,189,NA CON 189 diet A NA,NA
NA CON 191 diet A NA,NA,CON,Acetobacter,diet,A,4070400,2700,4073100,NACON,NACON,191,NA CON 191 diet A NA,NA
NA CON 193 diet A NA,NA,CON,Acetobacter,diet,A,3052800,3400,3056200,NACON,NACON,193,NA CON 193 diet A NA,NA
NA CON 195 diet A NA,NA,CON,Acetobacter,diet,A,9768960,5000,9773960,NACON,NACON,195,NA CON 195 diet A NA,NA
NA CON 197 diet A NA,NA,CON,Acetobacter,diet,A,3459840,3600,3463440,NACON,NACON,197,NA CON 197 diet A NA,NA
NA CON 199 diet A NA,NA,CON,Acetobacter,diet,A,5495040,4100,5499140,NACON,NACON,199,NA CON 199 diet A NA,NA
NA CON 201 diet A NA,NA,CON,Acetobacter,diet,A,1221120,2900,1224020,NACON,NACON,201,NA CON 201 diet A NA,NA
NA CON 203 diet A NA,NA,CON,Acetobacter,diet,A,4477440,2700,4480140,NACON,NACON,203,NA CON 203 diet A NA,NA
NA CON 205 diet A NA,NA,CON,Acetobacter,diet,A,4070400,3400,4073800,NACON,NACON,205,NA CON 205 diet A NA,NA
NA CON 207 diet A NA,NA,CON,Acetobacter,diet,A,3256320,4050,3260370,NACON,NACON,207,NA CON 207 diet A NA,NA
NA CON 209 diet A NA,NA,CON,Acetobacter,diet,A,2645760,3600,2649360,NACON,NACON,209,NA CON 209 diet A NA,NA
NA CON 211 diet A NA,NA,CON,Acetobacter,diet,A,1831680,3400,1835080,NACON,NACON,211,NA CON 211 diet A NA,NA
NA CON 213 diet A NA,NA,CON,Acetobacter,diet,A,1424640,2000,1426640,NACON,NACON,213,NA CON 213 diet A NA,NA
NA CON 215 diet A NA,NA,CON,Acetobacter,diet,A,1831680,3700,1835380,NACON,NACON,215,NA CON 215 diet A NA,NA
NA CON 218 diet A NA,NA,CON,Acetobacter,diet,A,17909760,2675,17912435,NACON,NACON,218,NA CON 218 diet A NA,NA
NA CON 220 diet A NA,NA,CON,Acetobacter,diet,A,4884480,2800,4887280,NACON,NACON,220,NA CON 220 diet A NA,NA
NA CON 222 diet A NA,NA,CON,Acetobacter,diet,A,3052800,2600,3055400,NACON,NACON,222,NA CON 222 diet A NA,NA
NA CON 224 diet A NA,NA,CON,Acetobacter,diet,A,21166080,3400,21169480,NACON,NACON,224,NA CON 224 diet A NA,NA
NA CON 226 diet A NA,NA,CON,Acetobacter,diet,A,14653440,4900,14658340,NACON,NACON,226,NA CON 226 diet A NA,NA
NA CON 228 diet A NA,NA,CON,Acetobacter,diet,A,2035200,4300,2039500,NACON,NACON,228,NA CON 228 diet A NA,NA
NA CON 230 diet A NA,NA,CON,Acetobacter,diet,A,814080,3100,817180,NACON,NACON,230,NA CON 230 diet A NA,NA
NA CON 233 diet A NA,NA,CON,Acetobacter,diet,A,1424640,3300,1427940,NACON,NACON,233,NA CON 233 diet A NA,NA
NA CON 235 diet A NA,NA,CON,Acetobacter,diet,A,2849280,3000,2852280,NACON,NACON,235,NA CON 235 diet A NA,NA
NA CON 237 diet A NA,NA,CON,Acetobacter,diet,A,1831680,2800,1834480,NACON,NACON,237,NA CON 237 diet A NA,NA
