,code,Sex,Treatment,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Side
32,F CH 74 fly A NA,F,CH,Acetobacter,fly,A,407040,500,407540,FCH,FCH,74,F CH 74 fly A NA,NA
33,M CON 77 fly A NA,M,CON,Acetobacter,fly,A,1679040,7552.5,1686592.5,MCON,MCON,77,M CON 77 fly A NA,NA
34,F CON 80 fly A NA,F,CON,Acetobacter,fly,A,1144800,1590,1146390,FCON,FCON,80,F CON 80 fly A NA,NA
35,M CH 82 fly A NA,M,CH,Acetobacter,fly,A,47700,475,48175,MCH,MCH,82,M CH 82 fly A NA,NA
36,M CH 84 fly A NA,M,CH,Acetobacter,fly,A,41340,1987.5,43327.5,MCH,MCH,84,M CH 84 fly A NA,NA
37,F CH 86 fly A NA,F,CH,Acetobacter,fly,A,124020,3577.5,127597.5,FCH,FCH,86,F CH 86 fly A NA,NA
38,F CH 88 fly A NA,F,CH,Acetobacter,fly,A,915840,675,916515,FCH,FCH,88,F CH 88 fly A NA,NA
39,M CON 90 fly A NA,M,CON,Acetobacter,fly,A,1221120,397.5,1221517.5,MCON,MCON,90,M CON 90 fly A NA,NA
40,M CON 92 fly A NA,M,CON,Acetobacter,fly,A,686880,8347.5,695227.5,MCON,MCON,92,M CON 92 fly A NA,NA
41,F CON 94 fly A NA,F,CON,Acetobacter,fly,A,13025280,1590,13026870,FCON,FCON,94,F CON 94 fly A NA,NA
42,F CON 96 fly A NA,F,CON,Acetobacter,fly,A,9768960,7950,9776910,FCON,FCON,96,F CON 96 fly A NA,NA
43,M CH 98 fly A NA,M,CH,Acetobacter,fly,A,60420,75,60495,MCH,MCH,98,M CH 98 fly A NA,NA
44,M CH 100 fly A NA,M,CH,Acetobacter,fly,A,41340,397.5,41737.5,MCH,MCH,100,M CH 100 fly A NA,NA
45,F CH 102 fly A NA,F,CH,Acetobacter,fly,A,330720,3975,334695,FCH,FCH,102,F CH 102 fly A NA,NA
46,F CH 104 fly A NA,F,CH,Acetobacter,fly,A,432480,700,433180,FCH,FCH,104,F CH 104 fly A NA,NA
47,M CON 106 fly A NA,M,CON,Acetobacter,fly,A,712320,450,712770,MCON,MCON,106,M CON 106 fly A NA,NA
48,M CON 108 fly A NA,M,CON,Acetobacter,fly,A,636000,1987.5,637987.5,MCON,MCON,108,M CON 108 fly A NA,NA
49,F CON 110 fly A NA,F,CON,Acetobacter,fly,A,171720,3180,174900,FCON,FCON,110,F CON 110 fly A NA,NA
50,F CON 112 fly A NA,F,CON,Acetobacter,fly,A,1526400,330720,1857120,FCON,FCON,112,F CON 112 fly A NA,NA
51,M CH 114 fly A NA,M,CH,Acetobacter,fly,A,686880,525,687405,MCH,MCH,114,M CH 114 fly A NA,NA
52,M CH 116 fly A NA,M,CH,Acetobacter,fly,A,38160,325,38485,MCH,MCH,116,M CH 116 fly A NA,NA
53,F CH 118 fly A NA,F,CH,Acetobacter,fly,A,483360,400,483760,FCH,FCH,118,F CH 118 fly A NA,NA
54,F CH 120 fly A NA,F,CH,Acetobacter,fly,A,610560,500,611060,FCH,FCH,120,F CH 120 fly A NA,NA
55,M CON 122 fly A NA,M,CON,Acetobacter,fly,A,143100,1987.5,145087.5,MCON,MCON,122,M CON 122 fly A NA,NA
56,M CON 124 fly A NA,M,CON,Acetobacter,fly,A,788640,9937.5,798577.5,MCON,MCON,124,M CON 124 fly A NA,NA
57,F CON 126 fly A NA,F,CON,Acetobacter,fly,A,22794240,152640,22946880,FCON,FCON,126,F CON 126 fly A NA,NA
58,F CON 128 fly A NA,F,CON,Acetobacter,fly,A,1119360,795,1120155,FCON,FCON,128,F CON 128 fly A NA,NA
59,M CH 130 fly A NA,M,CH,Acetobacter,fly,A,3256320,397.5,3256717.5,MCH,MCH,130,M CH 130 fly A NA,NA
60,M CH 132 fly A NA,M,CH,Acetobacter,fly,A,57240,1192.5,58432.5,MCH,MCH,132,M CH 132 fly A NA,NA
61,F CH 134 fly A NA,F,CH,Acetobacter,fly,A,610560,325,610885,FCH,FCH,134,F CH 134 fly A NA,NA
62,F CH 136 fly A NA,F,CH,Acetobacter,fly,A,330720,4770,335490,FCH,FCH,136,F CH 136 fly A NA,NA
63,M CON 139 fly A NA,M,CON,Acetobacter,fly,A,457920,1192.5,459112.5,MCON,MCON,139,M CON 139 fly A NA,NA
64,F CON 141 fly A NA,F,CON,Acetobacter,fly,A,559680,1590,561270,FCON,FCON,141,F CON 141 fly A NA,NA
65,F CON 143 fly A NA,F,CON,Acetobacter,fly,A,483360,700,484060,FCON,FCON,143,F CON 143 fly A NA,NA
66,NA CON 145 diet A NA,NA,CON,Acetobacter,diet,A,179097600,0,179097600,NACON,NACON,145,NA CON 145 diet A NA,NA
67,NA CON 147 diet A NA,NA,CON,Acetobacter,diet,A,96061440,0,96061440,NACON,NACON,147,NA CON 147 diet A NA,NA
68,NA CON 150 diet A NA,NA,CON,Acetobacter,diet,A,166072320,0,166072320,NACON,NACON,150,NA CON 150 diet A NA,NA
69,NA CON 152 diet A NA,NA,CON,Acetobacter,diet,A,130252800,0,130252800,NACON,NACON,152,NA CON 152 diet A NA,NA
70,NA CON 154 diet A NA,NA,CON,Acetobacter,diet,A,47216640,0,47216640,NACON,NACON,154,NA CON 154 diet A NA,NA
71,NA CON 156 diet A NA,NA,CON,Acetobacter,diet,A,153047040,0,153047040,NACON,NACON,156,NA CON 156 diet A NA,NA
72,NA CON 158 diet A NA,NA,CON,Acetobacter,diet,A,143278080,0,143278080,NACON,NACON,158,NA CON 158 diet A NA,NA
73,NA CON 160 diet A NA,NA,CON,Acetobacter,diet,A,151418880,0,151418880,NACON,NACON,160,NA CON 160 diet A NA,NA
74,NA CON 162 diet A NA,NA,CON,Acetobacter,diet,A,118855680,0,118855680,NACON,NACON,162,NA CON 162 diet A NA,NA
75,NA CON 164 diet A NA,NA,CON,Acetobacter,diet,A,81408000,0,81408000,NACON,NACON,164,NA CON 164 diet A NA,NA
76,NA CON 166 diet A NA,NA,CON,Acetobacter,diet,A,141649920,0,141649920,NACON,NACON,166,NA CON 166 diet A NA,NA
77,NA CON 168 diet A NA,NA,CON,Acetobacter,diet,A,39075840,0,39075840,NACON,NACON,168,NA CON 168 diet A NA,NA
78,NA CON 170 diet A NA,NA,CON,Acetobacter,diet,A,107458560,0,107458560,NACON,NACON,170,NA CON 170 diet A NA,NA
79,NA CON 172 diet A NA,NA,CON,Acetobacter,diet,A,40704000,0,40704000,NACON,NACON,172,NA CON 172 diet A NA,NA
80,NA CON 174 diet A NA,NA,CON,Acetobacter,diet,A,140021760,0,140021760,NACON,NACON,174,NA CON 174 diet A NA,NA
81,NA CON 176 diet A NA,NA,CON,Acetobacter,diet,A,71639040,25,71639065,NACON,NACON,176,NA CON 176 diet A NA,NA
82,NA CON 178 diet A NA,NA,CON,Acetobacter,diet,A,87920640,0,87920640,NACON,NACON,178,NA CON 178 diet A NA,NA
83,NA CON 180 diet A NA,NA,CON,Acetobacter,diet,A,3256320,100,3256420,NACON,NACON,180,NA CON 180 diet A NA,NA
