,Treatment,exp,LABconc,Bacteria,Plate,bottlegroup,cfuA,cfuL,newbottle
43,Control,A,50x,Acetobacter,5,ControlAcetobacter50xA5,2244020,4.166666667,ControlA50xAcetobacter5ControlAcetobacter50xA5
44,Control,A,50x,Acetobacter,6,ControlAcetobacter50xA6,2611840,4.166666667,ControlA50xAcetobacter6ControlAcetobacter50xA6
45,Control,A,50x,Acetobacter,7,ControlAcetobacter50xA7,2175120,25,ControlA50xAcetobacter7ControlAcetobacter50xA7
46,Control,A,50x,Acetobacter,8,ControlAcetobacter50xA8,2413090,4.166666667,ControlA50xAcetobacter8ControlAcetobacter50xA8
47,Control,A,50x,Acetobacter,9,ControlAcetobacter50xA9,826270,25,ControlA50xAcetobacter9ControlAcetobacter50xA9
48,Control,A,50x,Acetobacter,10,ControlAcetobacter50xA10,3832960,16.66666667,ControlA50xAcetobacter10ControlAcetobacter50xA10
49,Control,C,1x,Acetobacter,6,ControlAcetobacter1xC6,16552960,0,ControlC1xAcetobacter6ControlAcetobacter1xC6
50,Control,C,1x,Acetobacter,7,ControlAcetobacter1xC7,14551680,0,ControlC1xAcetobacter7ControlAcetobacter1xC7
51,Control,C,1x,Acetobacter,8,ControlAcetobacter1xC8,13975040,0,ControlC1xAcetobacter8ControlAcetobacter1xC8
52,Control,C,1x,Acetobacter,9,ControlAcetobacter1xC9,15365760,0,ControlC1xAcetobacter9ControlAcetobacter1xC9
53,Control,C,1x,Acetobacter,10,ControlAcetobacter1xC10,16145920,29.16666667,ControlC1xAcetobacter10ControlAcetobacter1xC10
54,Control,C,50x,Acetobacter,6,ControlAcetobacter50xC6,27136000,4.166666667,ControlC50xAcetobacter6ControlAcetobacter50xC6
55,Control,D,1x,Acetobacter,6,ControlAcetobacter1xD6,9531520,6605.833333,ControlD1xAcetobacter6ControlAcetobacter1xD6
56,Control,D,1x,Acetobacter,7,ControlAcetobacter1xD7,10752640,1355.833333,ControlD1xAcetobacter7ControlAcetobacter1xD7
57,Control,D,1x,Acetobacter,8,ControlAcetobacter1xD8,6750080,12419.16667,ControlD1xAcetobacter8ControlAcetobacter1xD8
58,Control,D,1x,Acetobacter,9,ControlAcetobacter1xD9,13635840,3330,ControlD1xAcetobacter9ControlAcetobacter1xD9
59,Control,D,1x,Acetobacter,10,ControlAcetobacter1xD10,14083584,285,ControlD1xAcetobacter10ControlAcetobacter1xD10
60,Control,D,50x,Acetobacter,6,ControlAcetobacter50xD6,14619520,620100,ControlD50xAcetobacter6ControlAcetobacter50xD6
61,Control,D,50x,Acetobacter,7,ControlAcetobacter50xD7,2443830,175430,ControlD50xAcetobacter7ControlAcetobacter50xD7
62,Control,D,50x,Acetobacter,8,ControlAcetobacter50xD8,6071680,799240,ControlD50xAcetobacter8ControlAcetobacter50xD8
63,Control,D,50x,Acetobacter,9,ControlAcetobacter50xD9,19537920,1433120,ControlD50xAcetobacter9ControlAcetobacter50xD9
64,Control,D,50x,Acetobacter,10,ControlAcetobacter50xD10,27950080,1468100,ControlD50xAcetobacter10ControlAcetobacter50xD10
