,code,TimePoint,Treatment,Sex,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Bottle
585,15minutes CH L 1311 diet B 2,15minutes,CH,L,Acetobacter,diet,B,203520,610560,814080,CH15minutesL,15minutesCH,1311,15minutes CH L 1311 diet B 2,2
586,15minutes CH L 1313 diet B 2,15minutes,CH,L,Acetobacter,diet,B,25,814080,814105,CH15minutesL,15minutesCH,1313,15minutes CH L 1313 diet B 2,2
587,15minutes CH L 1315 diet B 2,15minutes,CH,L,Acetobacter,diet,B,100,1628160,1628260,CH15minutesL,15minutesCH,1315,15minutes CH L 1315 diet B 2,2
588,15minutes CH A 1317 diet B 3,15minutes,CH,A,Acetobacter,diet,B,30935040,50,30935090,CH15minutesA,15minutesCH,1317,15minutes CH A 1317 diet B 3,3
589,15minutes CH A 1319 diet B 3,15minutes,CH,A,Acetobacter,diet,B,7123200,38160,7161360,CH15minutesA,15minutesCH,1319,15minutes CH A 1319 diet B 3,3
590,15minutes CH A 1321 diet B 3,15minutes,CH,A,Acetobacter,diet,B,3052800,25,3052825,CH15minutesA,15minutesCH,1321,15minutes CH A 1321 diet B 3,3
591,15minutes CH L 1323 diet B 3,15minutes,CH,L,Acetobacter,diet,B,814080,1221120,2035200,CH15minutesL,15minutesCH,1323,15minutes CH L 1323 diet B 3,3
592,15minutes CH L 1325 diet B 3,15minutes,CH,L,Acetobacter,diet,B,3459840,1221120,4680960,CH15minutesL,15minutesCH,1325,15minutes CH L 1325 diet B 3,3
593,15minutes CH L 1327 diet B 3,15minutes,CH,L,Acetobacter,diet,B,1221120,1221120,2442240,CH15minutesL,15minutesCH,1327,15minutes CH L 1327 diet B 3,3
594,15minutes CON NA 1329 diet B 1,15minutes,CON,NA,Acetobacter,diet,B,6309120,57240,6366360,CON15minutesNA,15minutesCON,1329,15minutes CON NA 1329 diet B 1,1
595,15minutes CON NA 1331 diet B 1,15minutes,CON,NA,Acetobacter,diet,B,5495040,450,5495490,CON15minutesNA,15minutesCON,1331,15minutes CON NA 1331 diet B 1,1
596,15minutes CON NA 1333 diet B 1,15minutes,CON,NA,Acetobacter,diet,B,7123200,15900,7139100,CON15minutesNA,15minutesCON,1333,15minutes CON NA 1333 diet B 1,1
597,15minutes CON NA 1335 diet B 1,15minutes,CON,NA,Acetobacter,diet,B,7123200,60420,7183620,CON15minutesNA,15minutesCON,1335,15minutes CON NA 1335 diet B 1,1
598,15minutes CON NA 1337 diet B 1,15minutes,CON,NA,Acetobacter,diet,B,10990080,108120,11098200,CON15minutesNA,15minutesCON,1337,15minutes CON NA 1337 diet B 1,1
599,15minutes CON NA 1339 diet B 1,15minutes,CON,NA,Acetobacter,diet,B,4477440,25440,4502880,CON15minutesNA,15minutesCON,1339,15minutes CON NA 1339 diet B 1,1
600,15minutes CON NA 1341 diet B 2,15minutes,CON,NA,Acetobacter,diet,B,4477440,1831680,6309120,CON15minutesNA,15minutesCON,1341,15minutes CON NA 1341 diet B 2,2
601,15minutes CON NA 1343 diet B 2,15minutes,CON,NA,Acetobacter,diet,B,5088000,750,5088750,CON15minutesNA,15minutesCON,1343,15minutes CON NA 1343 diet B 2,2
602,15minutes CON NA 1345 diet B 2,15minutes,CON,NA,Acetobacter,diet,B,5291520,73140,5364660,CON15minutesNA,15minutesCON,1345,15minutes CON NA 1345 diet B 2,2
603,15minutes CON NA 1347 diet B 2,15minutes,CON,NA,Acetobacter,diet,B,4680960,9540,4690500,CON15minutesNA,15minutesCON,1347,15minutes CON NA 1347 diet B 2,2
604,15minutes CON NA 1349 diet B 2,15minutes,CON,NA,Acetobacter,diet,B,4273920,850,4274770,CON15minutesNA,15minutesCON,1349,15minutes CON NA 1349 diet B 2,2
605,15minutes CON NA 1351 diet B 2,15minutes,CON,NA,Acetobacter,diet,B,3459840,44520,3504360,CON15minutesNA,15minutesCON,1351,15minutes CON NA 1351 diet B 2,2
606,15minutes CON NA 1353 diet B 3,15minutes,CON,NA,Acetobacter,diet,B,19537920,44520,19582440,CON15minutesNA,15minutesCON,1353,15minutes CON NA 1353 diet B 3,3
607,15minutes CON NA 1355 diet B 3,15minutes,CON,NA,Acetobacter,diet,B,9768960,19080,9788040,CON15minutesNA,15minutesCON,1355,15minutes CON NA 1355 diet B 3,3
608,15minutes CON NA 1357 diet B 3,15minutes,CON,NA,Acetobacter,diet,B,4884480,82680,4967160,CON15minutesNA,15minutesCON,1357,15minutes CON NA 1357 diet B 3,3
609,15minutes CON NA 1359 diet B 3,15minutes,CON,NA,Acetobacter,diet,B,26050560,89040,26139600,CON15minutesNA,15minutesCON,1359,15minutes CON NA 1359 diet B 3,3
610,15minutes CON NA 1361 diet B 3,15minutes,CON,NA,Acetobacter,diet,B,4273920,60420,4334340,CON15minutesNA,15minutesCON,1361,15minutes CON NA 1361 diet B 3,3
611,30minutes CH A 1363 diet B 1,30minutes,CH,A,Acetobacter,diet,B,53729280,150,53729430,CH30minutesA,30minutesCH,1363,30minutes CH A 1363 diet B 1,1
612,30minutes CH A 1365 diet B 1,30minutes,CH,A,Acetobacter,diet,B,34191360,550,34191910,CH30minutesA,30minutesCH,1365,30minutes CH A 1365 diet B 1,1
613,30minutes CH L 1368 diet B 1,30minutes,CH,L,Acetobacter,diet,B,9540,1017600,1027140,CH30minutesL,30minutesCH,1368,30minutes CH L 1368 diet B 1,1
614,30minutes CH L 1370 diet B 1,30minutes,CH,L,Acetobacter,diet,B,63600,2035200,2098800,CH30minutesL,30minutesCH,1370,30minutes CH L 1370 diet B 1,1
615,30minutes CH L 1372 diet B 1,30minutes,CH,L,Acetobacter,diet,B,175,2442240,2442415,CH30minutesL,30minutesCH,1372,30minutes CH L 1372 diet B 1,1
616,30minutes CH A 1374 diet B 2,30minutes,CH,A,Acetobacter,diet,B,27678720,75,27678795,CH30minutesA,30minutesCH,1374,30minutes CH A 1374 diet B 2,2
617,30minutes CH A 1378 diet B 2,30minutes,CH,A,Acetobacter,diet,B,8547840,25,8547865,CH30minutesA,30minutesCH,1378,30minutes CH A 1378 diet B 2,2
618,30minutes CH L 1380 diet B 2,30minutes,CH,L,Acetobacter,diet,B,25,610560,610585,CH30minutesL,30minutesCH,1380,30minutes CH L 1380 diet B 2,2
619,30minutes CH L 1382 diet B 2,30minutes,CH,L,Acetobacter,diet,B,825,1424640,1425465,CH30minutesL,30minutesCH,1382,30minutes CH L 1382 diet B 2,2
620,30minutes CH L 1384 diet B 2,30minutes,CH,L,Acetobacter,diet,B,66780,1017600,1084380,CH30minutesL,30minutesCH,1384,30minutes CH L 1384 diet B 2,2
621,30minutes CH A 1386 diet B 3,30minutes,CH,A,Acetobacter,diet,B,5902080,44520,5946600,CH30minutesA,30minutesCH,1386,30minutes CH A 1386 diet B 3,3
622,30minutes CH A 1390 diet B 3,30minutes,CH,A,Acetobacter,diet,B,2442240,50,2442290,CH30minutesA,30minutesCH,1390,30minutes CH A 1390 diet B 3,3
623,30minutes CH L 1392 diet B 3,30minutes,CH,L,Acetobacter,diet,B,400,66780,67180,CH30minutesL,30minutesCH,1392,30minutes CH L 1392 diet B 3,3
624,30minutes CH L 1394 diet B 3,30minutes,CH,L,Acetobacter,diet,B,250,25440,25690,CH30minutesL,30minutesCH,1394,30minutes CH L 1394 diet B 3,3
625,30minutes CH L 1396 diet B 3,30minutes,CH,L,Acetobacter,diet,B,1025,397.5,1422.5,CH30minutesL,30minutesCH,1396,30minutes CH L 1396 diet B 3,3
626,30minutes CON NA 1398 diet B 1,30minutes,CON,NA,Acetobacter,diet,B,149460,1750,151210,CON30minutesNA,30minutesCON,1398,30minutes CON NA 1398 diet B 1,1
627,30minutes CON NA 1400 diet B 1,30minutes,CON,NA,Acetobacter,diet,B,5291520,31800,5323320,CON30minutesNA,30minutesCON,1400,30minutes CON NA 1400 diet B 1,1
628,30minutes CON NA 1402 diet B 1,30minutes,CON,NA,Acetobacter,diet,B,6309120,63600,6372720,CON30minutesNA,30minutesCON,1402,30minutes CON NA 1402 diet B 1,1
629,30minutes CON NA 1404 diet B 1,30minutes,CON,NA,Acetobacter,diet,B,9565440,1850,9567290,CON30minutesNA,30minutesCON,1404,30minutes CON NA 1404 diet B 1,1
630,30minutes CON NA 1406 diet B 1,30minutes,CON,NA,Acetobacter,diet,B,5088000,850,5088850,CON30minutesNA,30minutesCON,1406,30minutes CON NA 1406 diet B 1,1
631,30minutes CON NA 1408 diet B 2,30minutes,CON,NA,Acetobacter,diet,B,26050560,69960,26120520,CON30minutesNA,30minutesCON,1408,30minutes CON NA 1408 diet B 2,2
632,30minutes CON NA 1410 diet B 2,30minutes,CON,NA,Acetobacter,diet,B,27678720,2849280,30528000,CON30minutesNA,30minutesCON,1410,30minutes CON NA 1410 diet B 2,2
633,30minutes CON NA 1412 diet B 2,30minutes,CON,NA,Acetobacter,diet,B,10786560,159000,10945560,CON30minutesNA,30minutesCON,1412,30minutes CON NA 1412 diet B 2,2
634,30minutes CON NA 1414 diet B 2,30minutes,CON,NA,Acetobacter,diet,B,5902080,133560,6035640,CON30minutesNA,30minutesCON,1414,30minutes CON NA 1414 diet B 2,2
635,30minutes CON NA 1416 diet B 2,30minutes,CON,NA,Acetobacter,diet,B,10379520,108120,10487640,CON30minutesNA,30minutesCON,1416,30minutes CON NA 1416 diet B 2,2
636,30minutes CON NA 1418 diet B 2,30minutes,CON,NA,Acetobacter,diet,B,5698560,98580,5797140,CON30minutesNA,30minutesCON,1418,30minutes CON NA 1418 diet B 2,2
637,30minutes CON NA 1420 diet B 3,30minutes,CON,NA,Acetobacter,diet,B,2442240,34980,2477220,CON30minutesNA,30minutesCON,1420,30minutes CON NA 1420 diet B 3,3
638,30minutes CON NA 1422 diet B 3,30minutes,CON,NA,Acetobacter,diet,B,13025280,73140,13098420,CON30minutesNA,30minutesCON,1422,30minutes CON NA 1422 diet B 3,3
639,30minutes CON NA 1424 diet B 3,30minutes,CON,NA,Acetobacter,diet,B,21166080,2645760,23811840,CON30minutesNA,30minutesCON,1424,30minutes CON NA 1424 diet B 3,3
640,30minutes CON NA 1426 diet B 3,30minutes,CON,NA,Acetobacter,diet,B,10583040,98580,10681620,CON30minutesNA,30minutesCON,1426,30minutes CON NA 1426 diet B 3,3
641,1hour CH A 1429 diet B 1,1hour,CH,A,Acetobacter,diet,B,10583040,73140,10656180,CH1hourA,1hourCH,1429,1hour CH A 1429 diet B 1,1
642,1hour CH A 1431 diet B 1,1hour,CH,A,Acetobacter,diet,B,5698560,19080,5717640,CH1hourA,1hourCH,1431,1hour CH A 1431 diet B 1,1
643,1hour CH L 1433 diet B 1,1hour,CH,L,Acetobacter,diet,B,225,248040,248265,CH1hourL,1hourCH,1433,1hour CH L 1433 diet B 1,1
644,1hour CH L 1435 diet B 1,1hour,CH,L,Acetobacter,diet,B,275,4680960,4681235,CH1hourL,1hourCH,1435,1hour CH L 1435 diet B 1,1
645,1hour CH L 1437 diet B 1,1hour,CH,L,Acetobacter,diet,B,350,3256320,3256670,CH1hourL,1hourCH,1437,1hour CH L 1437 diet B 1,1
646,1hour CH A 1439 diet B 2,1hour,CH,A,Acetobacter,diet,B,35819520,25440,35844960,CH1hourA,1hourCH,1439,1hour CH A 1439 diet B 2,2
647,1hour CH A 1441 diet B 2,1hour,CH,A,Acetobacter,diet,B,9158400,1424640,10583040,CH1hourA,1hourCH,1441,1hour CH A 1441 diet B 2,2
648,1hour CH A 1443 diet B 2,1hour,CH,A,Acetobacter,diet,B,9158400,3459840,12618240,CH1hourA,1hourCH,1443,1hour CH A 1443 diet B 2,2
649,1hour CH L 1445 diet B 2,1hour,CH,L,Acetobacter,diet,B,12720,3052800,3065520,CH1hourL,1hourCH,1445,1hour CH L 1445 diet B 2,2
650,1hour CH L 1447 diet B 2,1hour,CH,L,Acetobacter,diet,B,925,168540,169465,CH1hourL,1hourCH,1447,1hour CH L 1447 diet B 2,2
651,1hour CH L 1449 diet B 2,1hour,CH,L,Acetobacter,diet,B,225,2442240,2442465,CH1hourL,1hourCH,1449,1hour CH L 1449 diet B 2,2
652,1hour CH A 1451 diet B 3,1hour,CH,A,Acetobacter,diet,B,26050560,125,26050685,CH1hourA,1hourCH,1451,1hour CH A 1451 diet B 3,3
653,1hour CH A 1453 diet B 3,1hour,CH,A,Acetobacter,diet,B,34191360,0,34191360,CH1hourA,1hourCH,1453,1hour CH A 1453 diet B 3,3
654,1hour CH A 1455 diet B 3,1hour,CH,A,Acetobacter,diet,B,15671040,50,15671090,CH1hourA,1hourCH,1455,1hour CH A 1455 diet B 3,3
655,1hour CH L 1457 diet B 3,1hour,CH,L,Acetobacter,diet,B,50,6716160,6716210,CH1hourL,1hourCH,1457,1hour CH L 1457 diet B 3,3
656,1hour CH L 1460 diet B 3,1hour,CH,L,Acetobacter,diet,B,19080,1831680,1850760,CH1hourL,1hourCH,1460,1hour CH L 1460 diet B 3,3
657,1hour CON NA 1462 diet B 1,1hour,CON,NA,Acetobacter,diet,B,12414720,108120,12522840,CON1hourNA,1hourCON,1462,1hour CON NA 1462 diet B 1,1
658,1hour CON NA 1464 diet B 1,1hour,CON,NA,Acetobacter,diet,B,12211200,57240,12268440,CON1hourNA,1hourCON,1464,1hour CON NA 1464 diet B 1,1
659,1hour CON NA 1466 diet B 1,1hour,CON,NA,Acetobacter,diet,B,14653440,136740,14790180,CON1hourNA,1hourCON,1466,1hour CON NA 1466 diet B 1,1
660,1hour CON NA 1468 diet B 1,1hour,CON,NA,Acetobacter,diet,B,2849280,127200,2976480,CON1hourNA,1hourCON,1468,1hour CON NA 1468 diet B 1,1
661,1hour CON NA 1470 diet B 1,1hour,CON,NA,Acetobacter,diet,B,10176000,76320,10252320,CON1hourNA,1hourCON,1470,1hour CON NA 1470 diet B 1,1
662,1hour CON NA 1472 diet B 2,1hour,CON,NA,Acetobacter,diet,B,5902080,12720,5914800,CON1hourNA,1hourCON,1472,1hour CON NA 1472 diet B 2,2
663,1hour CON NA 1474 diet B 2,1hour,CON,NA,Acetobacter,diet,B,6919680,375,6920055,CON1hourNA,1hourCON,1474,1hour CON NA 1474 diet B 2,2
664,1hour CON NA 1476 diet B 2,1hour,CON,NA,Acetobacter,diet,B,8954880,1125,8956005,CON1hourNA,1hourCON,1476,1hour CON NA 1476 diet B 2,2
665,1hour CON NA 1478 diet B 2,1hour,CON,NA,Acetobacter,diet,B,111300,63600,174900,CON1hourNA,1hourCON,1478,1hour CON NA 1478 diet B 2,2
666,1hour CON NA 1480 diet B 2,1hour,CON,NA,Acetobacter,diet,B,14653440,1628160,16281600,CON1hourNA,1hourCON,1480,1hour CON NA 1480 diet B 2,2
667,1hour CON NA 1482 diet B 2,1hour,CON,NA,Acetobacter,diet,B,30935040,155820,31090860,CON1hourNA,1hourCON,1482,1hour CON NA 1482 diet B 2,2
668,1hour CON NA 1487 diet B 3,1hour,CON,NA,Acetobacter,diet,B,6105600,50880,6156480,CON1hourNA,1hourCON,1487,1hour CON NA 1487 diet B 3,3
669,1hour CON NA 1489 diet B 3,1hour,CON,NA,Acetobacter,diet,B,6309120,1150,6310270,CON1hourNA,1hourCON,1489,1hour CON NA 1489 diet B 3,3
670,1hour CON NA 1491 diet B 3,1hour,CON,NA,Acetobacter,diet,B,16485120,54060,16539180,CON1hourNA,1hourCON,1491,1hour CON NA 1491 diet B 3,3
671,2hours CH A 1493 diet B 1,2hours,CH,A,Acetobacter,diet,B,37447680,0,37447680,CH2hoursA,2hoursCH,1493,2hours CH A 1493 diet B 1,1
672,2hours CH A 1495 diet B 1,2hours,CH,A,Acetobacter,diet,B,10786560,2645760,13432320,CH2hoursA,2hoursCH,1495,2hours CH A 1495 diet B 1,1
673,2hours CH L 1498 diet B 1,2hours,CH,L,Acetobacter,diet,B,250,47700,47950,CH2hoursL,2hoursCH,1498,2hours CH L 1498 diet B 1,1
674,2hours CH L 1500 diet B 1,2hours,CH,L,Acetobacter,diet,B,95400,2849280,2944680,CH2hoursL,2hoursCH,1500,2hours CH L 1500 diet B 1,1
675,2hours CH L 1502 diet B 1,2hours,CH,L,Acetobacter,diet,B,75,4680960,4681035,CH2hoursL,2hoursCH,1502,2hours CH L 1502 diet B 1,1
676,2hours CH A 1504 diet B 2,2hours,CH,A,Acetobacter,diet,B,11804160,0,11804160,CH2hoursA,2hoursCH,1504,2hours CH A 1504 diet B 2,2
677,2hours CH A 1506 diet B 2,2hours,CH,A,Acetobacter,diet,B,11397120,25,11397145,CH2hoursA,2hoursCH,1506,2hours CH A 1506 diet B 2,2
678,2hours CH A 1508 diet B 2,2hours,CH,A,Acetobacter,diet,B,63498240,0,63498240,CH2hoursA,2hoursCH,1508,2hours CH A 1508 diet B 2,2
679,2hours CH L 1510 diet B 2,2hours,CH,L,Acetobacter,diet,B,37447680,184440,37632120,CH2hoursL,2hoursCH,1510,2hours CH L 1510 diet B 2,2
680,2hours CH L 1513 diet B 2,2hours,CH,L,Acetobacter,diet,B,1628160,139920,1768080,CH2hoursL,2hoursCH,1513,2hours CH L 1513 diet B 2,2
681,2hours CH A 1515 diet B 3,2hours,CH,A,Acetobacter,diet,B,27678720,6360,27685080,CH2hoursA,2hoursCH,1515,2hours CH A 1515 diet B 3,3
682,2hours CH A 1517 diet B 3,2hours,CH,A,Acetobacter,diet,B,45588480,19080,45607560,CH2hoursA,2hoursCH,1517,2hours CH A 1517 diet B 3,3
683,2hours CH A 1519 diet B 3,2hours,CH,A,Acetobacter,diet,B,32563200,175,32563375,CH2hoursA,2hoursCH,1519,2hours CH A 1519 diet B 3,3
684,2hours CH L 1521 diet B 3,2hours,CH,L,Acetobacter,diet,B,150,4273920,4274070,CH2hoursL,2hoursCH,1521,2hours CH L 1521 diet B 3,3
685,2hours CH L 1523 diet B 3,2hours,CH,L,Acetobacter,diet,B,150,4070400,4070550,CH2hoursL,2hoursCH,1523,2hours CH L 1523 diet B 3,3
686,2hours CH L 1525 diet B 3,2hours,CH,L,Acetobacter,diet,B,400,5291520,5291920,CH2hoursL,2hoursCH,1525,2hours CH L 1525 diet B 3,3
687,2hours CON NA 1527 diet B 1,2hours,CON,NA,Acetobacter,diet,B,16281600,114480,16396080,CON2hoursNA,2hoursCON,1527,2hours CON NA 1527 diet B 1,1
688,2hours CON NA 1529 diet B 1,2hours,CON,NA,Acetobacter,diet,B,17909760,159000,18068760,CON2hoursNA,2hoursCON,1529,2hours CON NA 1529 diet B 1,1
689,2hours CON NA 1531 diet B 1,2hours,CON,NA,Acetobacter,diet,B,65126400,174900,65301300,CON2hoursNA,2hoursCON,1531,2hours CON NA 1531 diet B 1,1
690,2hours CON NA 1533 diet B 1,2hours,CON,NA,Acetobacter,diet,B,10379520,50880,10430400,CON2hoursNA,2hoursCON,1533,2hours CON NA 1533 diet B 1,1
691,2hours CON NA 1535 diet B 1,2hours,CON,NA,Acetobacter,diet,B,39075840,222600,39298440,CON2hoursNA,2hoursCON,1535,2hours CON NA 1535 diet B 1,1
692,2hours CON NA 1537 diet B 2,2hours,CON,NA,Acetobacter,diet,B,10786560,1100,10787660,CON2hoursNA,2hoursCON,1537,2hours CON NA 1537 diet B 2,2
693,2hours CON NA 1539 diet B 2,2hours,CON,NA,Acetobacter,diet,B,14653440,1831680,16485120,CON2hoursNA,2hoursCON,1539,2hours CON NA 1539 diet B 2,2
694,2hours CON NA 1541 diet B 2,2hours,CON,NA,Acetobacter,diet,B,11193600,38160,11231760,CON2hoursNA,2hoursCON,1541,2hours CON NA 1541 diet B 2,2
695,2hours CON NA 1543 diet B 2,2hours,CON,NA,Acetobacter,diet,B,43960320,975,43961295,CON2hoursNA,2hoursCON,1543,2hours CON NA 1543 diet B 2,2
696,2hours CON NA 1545 diet B 2,2hours,CON,NA,Acetobacter,diet,B,26050560,34980,26085540,CON2hoursNA,2hoursCON,1545,2hours CON NA 1545 diet B 2,2
697,2hours CON NA 1547 diet B 2,2hours,CON,NA,Acetobacter,diet,B,4680960,44520,4725480,CON2hoursNA,2hoursCON,1547,2hours CON NA 1547 diet B 2,2
698,2hours CON NA 1549 diet B 3,2hours,CON,NA,Acetobacter,diet,B,6309120,69960,6379080,CON2hoursNA,2hoursCON,1549,2hours CON NA 1549 diet B 3,3
699,2hours CON NA 1551 diet B 3,2hours,CON,NA,Acetobacter,diet,B,63498240,146280,63644520,CON2hoursNA,2hoursCON,1551,2hours CON NA 1551 diet B 3,3
700,2hours CON NA 1553 diet B 3,2hours,CON,NA,Acetobacter,diet,B,16281600,124020,16405620,CON2hoursNA,2hoursCON,1553,2hours CON NA 1553 diet B 3,3
701,2hours CON NA 1555 diet B 3,2hours,CON,NA,Acetobacter,diet,B,19537920,82680,19620600,CON2hoursNA,2hoursCON,1555,2hours CON NA 1555 diet B 3,3
702,4hours CH A 1557 diet B 1,4hours,CH,A,Acetobacter,diet,B,109086720,1100,109087820,CH4hoursA,4hoursCH,1557,4hours CH A 1557 diet B 1,1
703,4hours CH A 1559 diet B 1,4hours,CH,A,Acetobacter,diet,B,70010880,550,70011430,CH4hoursA,4hoursCH,1559,4hours CH A 1559 diet B 1,1
704,4hours CH A 1561 diet B 1,4hours,CH,A,Acetobacter,diet,B,79779840,200,79780040,CH4hoursA,4hoursCH,1561,4hours CH A 1561 diet B 1,1
705,4hours CH L 1563 diet B 1,4hours,CH,L,Acetobacter,diet,B,9540,133560,143100,CH4hoursL,4hoursCH,1563,4hours CH L 1563 diet B 1,1
706,4hours CH L 1565 diet B 1,4hours,CH,L,Acetobacter,diet,B,38160,146280,184440,CH4hoursL,4hoursCH,1565,4hours CH L 1565 diet B 1,1
707,4hours CH L 1567 diet B 1,4hours,CH,L,Acetobacter,diet,B,28620,2035200,2063820,CH4hoursL,4hoursCH,1567,4hours CH L 1567 diet B 1,1
708,4hours CH A 1569 diet B 2,4hours,CH,A,Acetobacter,diet,B,12618240,450,12618690,CH4hoursA,4hoursCH,1569,4hours CH A 1569 diet B 2,2
709,4hours CH A 1571 diet B 2,4hours,CH,A,Acetobacter,diet,B,109086720,200,109086920,CH4hoursA,4hoursCH,1571,4hours CH A 1571 diet B 2,2
710,4hours CH A 1573 diet B 2,4hours,CH,A,Acetobacter,diet,B,58613760,550,58614310,CH4hoursA,4hoursCH,1573,4hours CH A 1573 diet B 2,2
711,4hours CH L 1575 diet B 2,4hours,CH,L,Acetobacter,diet,B,63600,407040,470640,CH4hoursL,4hoursCH,1575,4hours CH L 1575 diet B 2,2
712,4hours CH L 1577 diet B 2,4hours,CH,L,Acetobacter,diet,B,1424640,2238720,3663360,CH4hoursL,4hoursCH,1577,4hours CH L 1577 diet B 2,2
713,4hours CH A 1580 diet B 3,4hours,CH,A,Acetobacter,diet,B,130252800,400,130253200,CH4hoursA,4hoursCH,1580,4hours CH A 1580 diet B 3,3
714,4hours CH A 1582 diet B 3,4hours,CH,A,Acetobacter,diet,B,68382720,1225,68383945,CH4hoursA,4hoursCH,1582,4hours CH A 1582 diet B 3,3
715,4hours CH L 1585 diet B 3,4hours,CH,L,Acetobacter,diet,B,12720,407040,419760,CH4hoursL,4hoursCH,1585,4hours CH L 1585 diet B 3,3
716,4hours CH L 1587 diet B 3,4hours,CH,L,Acetobacter,diet,B,814080,1628160,2442240,CH4hoursL,4hoursCH,1587,4hours CH L 1587 diet B 3,3
717,4hours CH L 1589 diet B 3,4hours,CH,L,Acetobacter,diet,B,1628160,38160,1666320,CH4hoursL,4hoursCH,1589,4hours CH L 1589 diet B 3,3
718,4hours CON NA 1592 diet B 1,4hours,CON,NA,Acetobacter,diet,B,91176960,25440,91202400,CON4hoursNA,4hoursCON,1592,4hours CON NA 1592 diet B 1,1
719,4hours CON NA 1594 diet B 1,4hours,CON,NA,Acetobacter,diet,B,81408000,1125,81409125,CON4hoursNA,4hoursCON,1594,4hours CON NA 1594 diet B 1,1
720,4hours CON NA 1596 diet B 1,4hours,CON,NA,Acetobacter,diet,B,65126400,800,65127200,CON4hoursNA,4hoursCON,1596,4hours CON NA 1596 diet B 1,1
721,4hours CON NA 1598 diet B 1,4hours,CON,NA,Acetobacter,diet,B,102574080,700,102574780,CON4hoursNA,4hoursCON,1598,4hours CON NA 1598 diet B 1,1
722,4hours CON NA 1600 diet B 1,4hours,CON,NA,Acetobacter,diet,B,6512640,19080,6531720,CON4hoursNA,4hoursCON,1600,4hours CON NA 1600 diet B 1,1
723,4hours CON NA 1602 diet B 2,4hours,CON,NA,Acetobacter,diet,B,208404480,925,208405405,CON4hoursNA,4hoursCON,1602,4hours CON NA 1602 diet B 2,2
724,4hours CON NA 1604 diet B 2,4hours,CON,NA,Acetobacter,diet,B,182353920,700,182354620,CON4hoursNA,4hoursCON,1604,4hours CON NA 1604 diet B 2,2
725,4hours CON NA 1606 diet B 2,4hours,CON,NA,Acetobacter,diet,B,65126400,31800,65158200,CON4hoursNA,4hoursCON,1606,4hours CON NA 1606 diet B 2,2
726,4hours CON NA 1608 diet B 2,4hours,CON,NA,Acetobacter,diet,B,94433280,575,94433855,CON4hoursNA,4hoursCON,1608,4hours CON NA 1608 diet B 2,2
727,4hours CON NA 1610 diet B 2,4hours,CON,NA,Acetobacter,diet,B,6716160,475,6716635,CON4hoursNA,4hoursCON,1610,4hours CON NA 1610 diet B 2,2
728,4hours CON NA 1612 diet B 2,4hours,CON,NA,Acetobacter,diet,B,12007680,610560,12618240,CON4hoursNA,4hoursCON,1612,4hours CON NA 1612 diet B 2,2
729,4hours CON NA 1614 diet B 3,4hours,CON,NA,Acetobacter,diet,B,128624640,38160,128662800,CON4hoursNA,4hoursCON,1614,4hours CON NA 1614 diet B 3,3
730,4hours CON NA 1616 diet B 3,4hours,CON,NA,Acetobacter,diet,B,12821760,38160,12859920,CON4hoursNA,4hoursCON,1616,4hours CON NA 1616 diet B 3,3
731,4hours CON NA 1618 diet B 3,4hours,CON,NA,Acetobacter,diet,B,61870080,50880,61920960,CON4hoursNA,4hoursCON,1618,4hours CON NA 1618 diet B 3,3
732,4hours CON NA 1620 diet B 3,4hours,CON,NA,Acetobacter,diet,B,12821760,15900,12837660,CON4hoursNA,4hoursCON,1620,4hours CON NA 1620 diet B 3,3
733,4hours CON NA 1622 diet B 3,4hours,CON,NA,Acetobacter,diet,B,40704000,700,40704700,CON4hoursNA,4hoursCON,1622,4hours CON NA 1622 diet B 3,3
734,8hours CH A 1626 diet B 1,8hours,CH,A,Acetobacter,diet,B,13228800,175,13228975,CH8hoursA,8hoursCH,1626,8hours CH A 1626 diet B 1,1
735,8hours CH A 1628 diet B 1,8hours,CH,A,Acetobacter,diet,B,151418880,25,151418905,CH8hoursA,8hoursCH,1628,8hours CH A 1628 diet B 1,1
736,8hours CH A 1630 diet B 1,8hours,CH,A,Acetobacter,diet,B,122112000,73140,122185140,CH8hoursA,8hoursCH,1630,8hours CH A 1630 diet B 1,1
737,8hours CH L 1632 diet B 1,8hours,CH,L,Acetobacter,diet,B,44520,79500,124020,CH8hoursL,8hoursCH,1632,8hours CH L 1632 diet B 1,1
738,8hours CH L 1634 diet B 1,8hours,CH,L,Acetobacter,diet,B,60420,2442240,2502660,CH8hoursL,8hoursCH,1634,8hours CH L 1634 diet B 1,1
739,8hours CH A 1639 diet B 2,8hours,CH,A,Acetobacter,diet,B,151418880,25,151418905,CH8hoursA,8hoursCH,1639,8hours CH A 1639 diet B 2,2
740,8hours CH L 1643 diet B 2,8hours,CH,L,Acetobacter,diet,B,203520,203520,407040,CH8hoursL,8hoursCH,1643,8hours CH L 1643 diet B 2,2
741,8hours CH L 1645 diet B 2,8hours,CH,L,Acetobacter,diet,B,120840,200,121040,CH8hoursL,8hoursCH,1645,8hours CH L 1645 diet B 2,2
742,8hours CH A 1647 diet B 3,8hours,CH,A,Acetobacter,diet,B,226314240,125,226314365,CH8hoursA,8hoursCH,1647,8hours CH A 1647 diet B 3,3
