vial,treatment,sex,replicate,exp,vialnum,variable,event,experiment,vial_rep
CON M 2_6,CON,M,2_6,2,6,0.8,1,expB,CON_2_6
CON M 2_6,CON,M,2_6,2,6,0.8,1,expB,CON_2_6
CON M 2_7,CON,M,2_7,2,7,0.8,1,expB,CON_2_7
CON M 2_7,CON,M,2_7,2,7,0.8,1,expB,CON_2_7
CON M 2_7,CON,M,2_7,2,7,0.8,1,expB,CON_2_7
CON M 2_7,CON,M,2_7,2,7,0.8,1,expB,CON_2_7
CON M 2_7,CON,M,2_7,2,7,0.8,1,expB,CON_2_7
CON M 2_7,CON,M,2_7,2,7,0.8,1,expB,CON_2_7
CON M 2_8,CON,M,2_8,2,8,0.8,1,expB,CON_2_8
CON M 2_8,CON,M,2_8,2,8,0.8,1,expB,CON_2_8
CON M 2_8,CON,M,2_8,2,8,0.8,1,expB,CON_2_8
CON M 2_8,CON,M,2_8,2,8,0.8,1,expB,CON_2_8
CON M 2_9,CON,M,2_9,2,9,0.8,1,expB,CON_2_9
