egg_count,Day,geography,treatment,Replicate,plate side,experiment,Expt,SortOrder,code,vialnum,repexp,tg
19,1,Florida,Choice,#2,Lactobacillus,C,Expt2,186,1 Florida Choice #2 C Expt2,1 Florida Choice #2 C Expt2,1 Florida Choice #2 C Expt2,Choice.Florida
20,1,Florida,Control,#1,Acetobacter,A,Expt2,187,1 Florida Control #1 A Expt2,1 Florida Control #1 A Expt2,1 Florida Control #1 A Expt2,Control.Florida
22,1,Florida,Control,#1,Lactobacillus,A,Expt2,188,1 Florida Control #1 A Expt2,1 Florida Control #1 A Expt2,1 Florida Control #1 A Expt2,Control.Florida
38,1,Florida,Control,#2,Acetobacter,A,Expt2,189,1 Florida Control #2 A Expt2,1 Florida Control #2 A Expt2,1 Florida Control #2 A Expt2,Control.Florida
70,1,Florida,Control,#2,Lactobacillus,A,Expt2,190,1 Florida Control #2 A Expt2,1 Florida Control #2 A Expt2,1 Florida Control #2 A Expt2,Control.Florida
111,1,Florida,Control,#1,Acetobacter,B,Expt2,191,1 Florida Control #1 B Expt2,1 Florida Control #1 B Expt2,1 Florida Control #1 B Expt2,Control.Florida
102,1,Florida,Control,#1,Lactobacillus,B,Expt2,192,1 Florida Control #1 B Expt2,1 Florida Control #1 B Expt2,1 Florida Control #1 B Expt2,Control.Florida
92,1,Florida,Control,#2,Acetobacter,B,Expt2,193,1 Florida Control #2 B Expt2,1 Florida Control #2 B Expt2,1 Florida Control #2 B Expt2,Control.Florida
50,1,Florida,Control,#2,Lactobacillus,B,Expt2,194,1 Florida Control #2 B Expt2,1 Florida Control #2 B Expt2,1 Florida Control #2 B Expt2,Control.Florida
67,1,Florida,Control,#3,Acetobacter,B,Expt2,195,1 Florida Control #3 B Expt2,1 Florida Control #3 B Expt2,1 Florida Control #3 B Expt2,Control.Florida
77,1,Florida,Control,#3,Lactobacillus,B,Expt2,196,1 Florida Control #3 B Expt2,1 Florida Control #3 B Expt2,1 Florida Control #3 B Expt2,Control.Florida
35,1,Florida,Control,#1,Acetobacter,C,Expt2,197,1 Florida Control #1 C Expt2,1 Florida Control #1 C Expt2,1 Florida Control #1 C Expt2,Control.Florida
34,1,Florida,Control,#1,Lactobacillus,C,Expt2,198,1 Florida Control #1 C Expt2,1 Florida Control #1 C Expt2,1 Florida Control #1 C Expt2,Control.Florida
74,1,Florida,Control,#2,Acetobacter,C,Expt2,199,1 Florida Control #2 C Expt2,1 Florida Control #2 C Expt2,1 Florida Control #2 C Expt2,Control.Florida
76,1,Florida,Control,#2,Lactobacillus,C,Expt2,200,1 Florida Control #2 C Expt2,1 Florida Control #2 C Expt2,1 Florida Control #2 C Expt2,Control.Florida
28,1,Pennsylvania,Choice,#1,Acetobacter,A,Expt2,201,1 Pennsylvania Choice #1 A Expt2,1 Pennsylvania Choice #1 A Expt2,1 Pennsylvania Choice #1 A Expt2,Choice.Pennsylvania
25,1,Pennsylvania,Choice,#1,Lactobacillus,A,Expt2,202,1 Pennsylvania Choice #1 A Expt2,1 Pennsylvania Choice #1 A Expt2,1 Pennsylvania Choice #1 A Expt2,Choice.Pennsylvania
152,1,Pennsylvania,Choice,#2,Acetobacter,A,Expt2,203,1 Pennsylvania Choice #2 A Expt2,1 Pennsylvania Choice #2 A Expt2,1 Pennsylvania Choice #2 A Expt2,Choice.Pennsylvania
10,1,Pennsylvania,Choice,#2,Lactobacillus,A,Expt2,204,1 Pennsylvania Choice #2 A Expt2,1 Pennsylvania Choice #2 A Expt2,1 Pennsylvania Choice #2 A Expt2,Choice.Pennsylvania
25,1,Pennsylvania,Choice,#1,Acetobacter,B,Expt2,205,1 Pennsylvania Choice #1 B Expt2,1 Pennsylvania Choice #1 B Expt2,1 Pennsylvania Choice #1 B Expt2,Choice.Pennsylvania
12,1,Pennsylvania,Choice,#1,Lactobacillus,B,Expt2,206,1 Pennsylvania Choice #1 B Expt2,1 Pennsylvania Choice #1 B Expt2,1 Pennsylvania Choice #1 B Expt2,Choice.Pennsylvania
85,1,Pennsylvania,Choice,#2,Acetobacter,B,Expt2,207,1 Pennsylvania Choice #2 B Expt2,1 Pennsylvania Choice #2 B Expt2,1 Pennsylvania Choice #2 B Expt2,Choice.Pennsylvania
28,1,Pennsylvania,Choice,#2,Lactobacillus,B,Expt2,208,1 Pennsylvania Choice #2 B Expt2,1 Pennsylvania Choice #2 B Expt2,1 Pennsylvania Choice #2 B Expt2,Choice.Pennsylvania
46,1,Pennsylvania,Choice,#3,Acetobacter,B,Expt2,209,1 Pennsylvania Choice #3 B Expt2,1 Pennsylvania Choice #3 B Expt2,1 Pennsylvania Choice #3 B Expt2,Choice.Pennsylvania
6,1,Pennsylvania,Choice,#3,Lactobacillus,B,Expt2,210,1 Pennsylvania Choice #3 B Expt2,1 Pennsylvania Choice #3 B Expt2,1 Pennsylvania Choice #3 B Expt2,Choice.Pennsylvania
31,1,Pennsylvania,Choice,#1,Acetobacter,C,Expt2,211,1 Pennsylvania Choice #1 C Expt2,1 Pennsylvania Choice #1 C Expt2,1 Pennsylvania Choice #1 C Expt2,Choice.Pennsylvania
4,1,Pennsylvania,Choice,#1,Lactobacillus,C,Expt2,212,1 Pennsylvania Choice #1 C Expt2,1 Pennsylvania Choice #1 C Expt2,1 Pennsylvania Choice #1 C Expt2,Choice.Pennsylvania
36,1,Pennsylvania,Choice,#2,Acetobacter,C,Expt2,213,1 Pennsylvania Choice #2 C Expt2,1 Pennsylvania Choice #2 C Expt2,1 Pennsylvania Choice #2 C Expt2,Choice.Pennsylvania
18,1,Pennsylvania,Choice,#2,Lactobacillus,C,Expt2,214,1 Pennsylvania Choice #2 C Expt2,1 Pennsylvania Choice #2 C Expt2,1 Pennsylvania Choice #2 C Expt2,Choice.Pennsylvania
21,1,Pennsylvania,Control,#1,Acetobacter,A,Expt2,215,1 Pennsylvania Control #1 A Expt2,1 Pennsylvania Control #1 A Expt2,1 Pennsylvania Control #1 A Expt2,Control.Pennsylvania
59,1,Pennsylvania,Control,#1,Lactobacillus,A,Expt2,216,1 Pennsylvania Control #1 A Expt2,1 Pennsylvania Control #1 A Expt2,1 Pennsylvania Control #1 A Expt2,Control.Pennsylvania
51,1,Pennsylvania,Control,#2,Acetobacter,A,Expt2,217,1 Pennsylvania Control #2 A Expt2,1 Pennsylvania Control #2 A Expt2,1 Pennsylvania Control #2 A Expt2,Control.Pennsylvania
17,1,Pennsylvania,Control,#2,Lactobacillus,A,Expt2,218,1 Pennsylvania Control #2 A Expt2,1 Pennsylvania Control #2 A Expt2,1 Pennsylvania Control #2 A Expt2,Control.Pennsylvania
18,1,Pennsylvania,Control,#1,Acetobacter,B,Expt2,219,1 Pennsylvania Control #1 B Expt2,1 Pennsylvania Control #1 B Expt2,1 Pennsylvania Control #1 B Expt2,Control.Pennsylvania
18,1,Pennsylvania,Control,#1,Lactobacillus,B,Expt2,220,1 Pennsylvania Control #1 B Expt2,1 Pennsylvania Control #1 B Expt2,1 Pennsylvania Control #1 B Expt2,Control.Pennsylvania
20,1,Pennsylvania,Control,#2,Acetobacter,B,Expt2,221,1 Pennsylvania Control #2 B Expt2,1 Pennsylvania Control #2 B Expt2,1 Pennsylvania Control #2 B Expt2,Control.Pennsylvania
21,1,Pennsylvania,Control,#2,Lactobacillus,B,Expt2,222,1 Pennsylvania Control #2 B Expt2,1 Pennsylvania Control #2 B Expt2,1 Pennsylvania Control #2 B Expt2,Control.Pennsylvania
8,1,Pennsylvania,Control,#3,Acetobacter,B,Expt2,223,1 Pennsylvania Control #3 B Expt2,1 Pennsylvania Control #3 B Expt2,1 Pennsylvania Control #3 B Expt2,Control.Pennsylvania
