egg_count,Day,geography,treatment,Replicate,plate side,experiment,Expt,SortOrder,code,vialnum,repexp,tg
41,2,Pennsylvania,Choice,#2,Lactobacillus,A,Expt2,288,2 Pennsylvania Choice #2 A Expt2,2 Pennsylvania Choice #2 A Expt2,2 Pennsylvania Choice #2 A Expt2,Choice.Pennsylvania
86,2,Pennsylvania,Choice,#1,Acetobacter,B,Expt2,289,2 Pennsylvania Choice #1 B Expt2,2 Pennsylvania Choice #1 B Expt2,2 Pennsylvania Choice #1 B Expt2,Choice.Pennsylvania
44,2,Pennsylvania,Choice,#1,Lactobacillus,B,Expt2,290,2 Pennsylvania Choice #1 B Expt2,2 Pennsylvania Choice #1 B Expt2,2 Pennsylvania Choice #1 B Expt2,Choice.Pennsylvania
16,2,Pennsylvania,Choice,#2,Acetobacter,B,Expt2,291,2 Pennsylvania Choice #2 B Expt2,2 Pennsylvania Choice #2 B Expt2,2 Pennsylvania Choice #2 B Expt2,Choice.Pennsylvania
34,2,Pennsylvania,Choice,#2,Lactobacillus,B,Expt2,292,2 Pennsylvania Choice #2 B Expt2,2 Pennsylvania Choice #2 B Expt2,2 Pennsylvania Choice #2 B Expt2,Choice.Pennsylvania
56,2,Pennsylvania,Choice,#3,Acetobacter,B,Expt2,293,2 Pennsylvania Choice #3 B Expt2,2 Pennsylvania Choice #3 B Expt2,2 Pennsylvania Choice #3 B Expt2,Choice.Pennsylvania
47,2,Pennsylvania,Choice,#3,Lactobacillus,B,Expt2,294,2 Pennsylvania Choice #3 B Expt2,2 Pennsylvania Choice #3 B Expt2,2 Pennsylvania Choice #3 B Expt2,Choice.Pennsylvania
167,2,Pennsylvania,Choice,#1,Acetobacter,C,Expt2,295,2 Pennsylvania Choice #1 C Expt2,2 Pennsylvania Choice #1 C Expt2,2 Pennsylvania Choice #1 C Expt2,Choice.Pennsylvania
82,2,Pennsylvania,Choice,#1,Lactobacillus,C,Expt2,296,2 Pennsylvania Choice #1 C Expt2,2 Pennsylvania Choice #1 C Expt2,2 Pennsylvania Choice #1 C Expt2,Choice.Pennsylvania
52,2,Pennsylvania,Choice,#2,Acetobacter,C,Expt2,297,2 Pennsylvania Choice #2 C Expt2,2 Pennsylvania Choice #2 C Expt2,2 Pennsylvania Choice #2 C Expt2,Choice.Pennsylvania
53,2,Pennsylvania,Choice,#2,Lactobacillus,C,Expt2,298,2 Pennsylvania Choice #2 C Expt2,2 Pennsylvania Choice #2 C Expt2,2 Pennsylvania Choice #2 C Expt2,Choice.Pennsylvania
165,2,Pennsylvania,Control,#1,Acetobacter,A,Expt2,299,2 Pennsylvania Control #1 A Expt2,2 Pennsylvania Control #1 A Expt2,2 Pennsylvania Control #1 A Expt2,Control.Pennsylvania
121,2,Pennsylvania,Control,#1,Lactobacillus,A,Expt2,300,2 Pennsylvania Control #1 A Expt2,2 Pennsylvania Control #1 A Expt2,2 Pennsylvania Control #1 A Expt2,Control.Pennsylvania
203,2,Pennsylvania,Control,#2,Acetobacter,A,Expt2,301,2 Pennsylvania Control #2 A Expt2,2 Pennsylvania Control #2 A Expt2,2 Pennsylvania Control #2 A Expt2,Control.Pennsylvania
177,2,Pennsylvania,Control,#2,Lactobacillus,A,Expt2,302,2 Pennsylvania Control #2 A Expt2,2 Pennsylvania Control #2 A Expt2,2 Pennsylvania Control #2 A Expt2,Control.Pennsylvania
35,2,Pennsylvania,Control,#1,Acetobacter,B,Expt2,303,2 Pennsylvania Control #1 B Expt2,2 Pennsylvania Control #1 B Expt2,2 Pennsylvania Control #1 B Expt2,Control.Pennsylvania
27,2,Pennsylvania,Control,#1,Lactobacillus,B,Expt2,304,2 Pennsylvania Control #1 B Expt2,2 Pennsylvania Control #1 B Expt2,2 Pennsylvania Control #1 B Expt2,Control.Pennsylvania
32,2,Pennsylvania,Control,#2,Acetobacter,B,Expt2,305,2 Pennsylvania Control #2 B Expt2,2 Pennsylvania Control #2 B Expt2,2 Pennsylvania Control #2 B Expt2,Control.Pennsylvania
9,2,Pennsylvania,Control,#2,Lactobacillus,B,Expt2,306,2 Pennsylvania Control #2 B Expt2,2 Pennsylvania Control #2 B Expt2,2 Pennsylvania Control #2 B Expt2,Control.Pennsylvania
8,2,Pennsylvania,Control,#3,Acetobacter,B,Expt2,307,2 Pennsylvania Control #3 B Expt2,2 Pennsylvania Control #3 B Expt2,2 Pennsylvania Control #3 B Expt2,Control.Pennsylvania
9,2,Pennsylvania,Control,#3,Lactobacillus,B,Expt2,308,2 Pennsylvania Control #3 B Expt2,2 Pennsylvania Control #3 B Expt2,2 Pennsylvania Control #3 B Expt2,Control.Pennsylvania
50,2,Pennsylvania,Control,#1,Acetobacter,C,Expt2,309,2 Pennsylvania Control #1 C Expt2,2 Pennsylvania Control #1 C Expt2,2 Pennsylvania Control #1 C Expt2,Control.Pennsylvania
